Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ACF,108,145,1,310,261,278,1,566,0,0,0,0,
AOA,0,0,0,0,4,5,1,15,0,0,0,0,
CMS,10,17,1,1431,250,415,1,2273,262,243,48,573,
OIG,1,4,1,21,41,51,1,190,1,1,1,1,
OPHS,24,100,0,751,153,220,18,862,8,7,0,13,
AHRQ,0,12,1,30,0,13,10,35,25,25,25,25,
CDC,16,49,0,652,27,84,0,681,1.5,1.5,1,2,
FDA,10,95,1,1250,293,316,1,1420,171,254,40,635,
HRSA,0,0,0,0,15,17,1,174,0,0,0,0,
IHS,12,14,3,24,52,90,34,141,13,10,5,32,
NIH,0,0,0,0,16,31,1,801,0,0,0,0,
SAMHSA,12,20,0,30,68,75,12,180,0,0,0,0,
OS,0,0,0,0,217,247,1,1754,0,0,0,0,
Total,19,46,0,1431,107,141,0,2272,37,54,0,635,
