Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BIS,8,9,1,20,25,33,1,99,10,10,10,10,
Census,3,4,0,20,7,16,2,162,1,11,1,308,
EDA,10,10,2,20,24,27,21,41,0,0,0,0,
ESA,4,4,1,8,0,0,0,0,0,0,0,0,
ITA,1,4,1,11,78,119,41,361,0,0,0,0,
MBDA,37,38,15,90,0,0,0,0,0,0,0,0,
NIST,3,5,0,20,38,81,1,1058,0,0,0,0,
NOAA,9,9,1,20,63,111,21,892,0,0,0,0,
NTIA,6,9,1,49,30,107,1,576,231,200,10,331,
NTIS,18,43,0,148,0,0,0,0,61,61,61,61,
OIG,1,15,1,51,29,42,1,164,2,2,1,5,
OS,1,5,1,20,105,146,21,535,13,57,1,158,
PTO,12,11,0,20,29,32,21,143,9,9,8,10,
Total,7,8,1,148,45,89,1,1058,2,26,1,331,
