Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BEP,3,7,2,28,15,22,20,28,0,0,0,0,
BPD,0,0,0,0,66,8.5,1,69,0,0,0,0,
DO,16,38,1,555,62,132.9,1,2064,21,36.6,2,88,
FinCEN,1,1,,5,6,9,,24,,,,,
FMS,10,12,1,160,22,32,1,177,,,,,
IRS,,,,,16,20.04,,557,19,41.6,5,88,
MINT,6,9.3,,20,,,,,5,5,5,5,
OCC,7,10.51,,648,27.5,31.5,,108,18,19.8,,71,
TIGTA,2,8,1,13,14,15.49,1,108,21.5,21.9,8,35,
TTB,7,8.35,1,24,21,19.49,1,30,,,,,
Total,5,16,0,648,15,23,0,2064,19,38,0,88,
