Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ACF,12,138,1,963,95,236,5,823,3,10,1,43,
AOA,2,5,1,11,0,0,0,0,0,0,0,0,
CMS,8,19,1,535,16,218,1,1702,100,188,3,556,
OIG,1,3,1,23,14,24,1,170,0,0,0,0,
AHRQ,9,13,1,79,35,47,1,207,0,0,0,0,
CDC,26.5,44.32,,292,32,73.37,,1000,0,0,0,0,
FDA,9,48.6,1,1305,162,248.1,1,1760,53,64.3,31,109,
HRSA,0,0,0,0,15,17,1,344,0,0,0,0,
IHS,15,13,3,25,85,96,62,160,0,0,0,0,
NIH,14,24,1,459,0,0,0,0,0,0,0,0,
SAMHSA,17,34,1,78,34,58,4,135,0,0,0,0,
OS,0,0,0,0,600,185,1,1619,0,0,0,0,
OASH,13,26,1,349,174,263,6,925,0,0,0,0,
Total,15,35,0,1305,174,112,0,1760,60,70,3,556,
