Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
FSIP,1.5,4.1,,14,,,,,,,,,
Authority,6,8.14,,33,,,,,6.5,7,4,11,
IG,17,17,17,17,,,,,,,,,
OGC,13,13,13,13,,,,,,,,,
ATRO,4,4,4,4,,,,,,,,,
BORO,12,15,2,34,,,,,,,,,
DERO,30,30,30,30,,,,,,,,,
SFRO,2,3.2,,8,,,,,,,,,
WARO,23.5,23.5,18,29,,,,,,,,,
Total,6,8,0,34,0,0,0,0,7,7,4,11,
