Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
FAA,5,30,,1172,23,48,,1086,13.5,23,,291,
FHWA,16,28,1,434,103,147,18,366,5,6,1,11,
FMCSA,34,39,,324,42,52,,354,17,34,1,124,
FRA,31,86,1,657,,,,,,,,,
FTA,18,25,,233,,,,,,,,,
MARAD,6,137,3,146,77,137,47,261,,,,,
NHTSA,20,23,,168,30,30,21,39,7,8,,17,
OIG,84,136,,553,411,346,121,473,,,,,
OST,3,19,,581,43,152,,784,3,3,3,3,
PHMSA,13,131,,3543,438,438,438,438,1,2,,1,
RITA,10,12,,48,14,14,14,14,19,19,16,21,
SLSDC,19,46,4,179,,,,,,,,,
Total,11,37,0,3543,27,58,0,1086,13,22,0,291,
