Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FSIP,1,4,,20,,,,,,,,,
Authority,11,12,1,28,12,66,21,156,,,,,
IG,3,2,1,3,,,,,,,,,
OGC,8,8,8,8,,,,,,,,,
ATRO,10,8,2,12,,,,,,,,,
BORO,2,2,1,3,,,,,,,,,
CHRO,3,4,2,7,,,,,,,,,
DARO,14,14,12,17,,,,,,,,,
DERO,0,0,0,0,,,,,,,,,
SFRO,18,18,15,20,,,,,,,,,
WARO,1,1,1,2,,,,,,,,,
Total,8,11,0,28,21,66,21,156,0,0,0,0,
