Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
CBP,129,142.02,1,544,66.5,94.86,1,509,23,38.44,1,119,
CRCL,6,6.07,1,12,12,15.8,1,81,,,,,
FEMA,100.5,151.37,1,923,94,147.96,1,899,,,,,
FLETC,10,19.26,1,181,,,,,,,,,
I&A,32,30.93,7,49,35.5,50.86,1,290,,,,,
ICE,45,52.79,1,273,37,63.01,2,590,19,28.76,1,149,
NPPD,35,44.22,1,243,25,37.26,1,362,13.5,13.5,11,16,
OIG,22,29.22,1,119,54,71.2,7,304,117,117,117,117,
OPS,2,2.75,1,13,4,5.86,1,19,,,,,
PRIV,7,16.47,1,149,38,62.89,1,441,16.5,21.3,9,58,
S&T,5,6.75,1,18,94,110.17,67,184,93,93,93,93,
TSA,6,7.4,1,20,231,288.44,21,2120,1,1,1,1,
USCG,11,10.83,1,20,35,97.29,2,983,,,,,
USCIS,15.76,19.76,1,397,25.35,28.08,1,531,23.98,39.09,5,219,
USSS,11,10.79,1,20,92,223.4,21,1510,,,,,
Total,11,37,1,923,38,93,1,2120,21,44,1,219,
