Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
CBP,18.57,38.46,1,369,60,91.09,1,990,0,0,0,0,
CRCL,38,38.2,12,70,91.5,91.5,81,102,0,0,0,0,
FEMA,131,192.51,1,992,157,218.25,2,1521,194.5,345,8,1175,
FLETC,23,40.47,,235,0,0,0,0,0,0,0,0,
I&A,13,14.5,2,25,17.5,18.36,3,40,0,0,0,0,
ICE,8,12.46,1,152,23,38.48,1,313,58,58,7,109,
MGMT,9,9.4,1,62,24.5,30.63,2,186,0,0,0,0,
NPPD,32.5,55.6,1,352,212,280.55,116,684,0,0,0,0,
OGC,24.5,40.5,6,107,175.5,186,59,322,0,0,0,0,
OIG,15,21.47,1,132,31,56.7,3,359,0,0,0,0,
OPS,4,4.79,1,11,7,4.74,4,25,0,0,0,0,
PLCY,7,10.83,6,29,96,107.8,20,260,0,0,0,0,
PRIV,7,7.92,1,108,35.5,62.33,1,528,83.5,83.5,28,139,
S&T,14,22.66,1,97,1013,796,247,1128,0,0,0,0,
TSA,21,37.28,1,321,59,124.39,1,1037,0,0,0,0,
US-VISIT,5,32.86,,224,11,19,11,35,0,0,0,0,
USCG,6,15.23,1,411,195,378.93,1,3265,1,1.78,1,8,
USCIS,198.24,215.09,1,1396,,319.15,1,967,26.46,67.2,4,309,
USSS,36,38.66,21,59,208,299.37,61,1204,0,0,0,0,
Total,40,104,0,1396,339,310,1,3265,8,91,1,1175,
