Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
Admin,,,,,47.5,47.67,1,98,,,,,
BVA,,,,,11.5,20.08,1,108,,,,,
C&LA,,,,,24,23.47,5,56,,,,,
CFM,,,,,66,62.72,,218,,,,,
GC,,,,,51,50.16,1,146,7,7,7,7,
HRM,,,,,218,230.53,15,442,,,,,
IG,,,,,15,15.23,,168,,,,,
Mgmt,,,,,11,16.5,4,40,,,,,
NCA,,,,,26,30.57,1,193,,,,,
OAL,,,,,11,32.38,,321,,,,,
OASHRA,,,,,10,11.29,4,19,,,,,
OASP&IA,,,,,56,56,56,56,,,,,
ODASIA,,,,,21.5,21.5,8,35,,,,,
ODI,,,,,7,7,7,7,,,,,
OF,,,,,15,27.08,1,273,,,,,
OIT,,,,,5,20.66,,328,,,,,
ORM,,,,,13,13.53,,38,,,,,
OSDBU,,,,,49,86.54,3,299,,,,,
OSP,,,,,16,21.62,10,46,,,,,
P&P,,,,,8,8,8,8,,,,,
SEC,,,,,22,62.19,,300,,,,,
VBA,,,,,7,25.86,,1748,,,,,
VHA,0.5,1.49,,8,4,11.6,,682,1,4.11,,53,
Total,0,1,0,8,5,16,0,1748,1,4,0,53,
