Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
AMS,15,16,1,75,26,67.6,1,436,,,,,
APHIS,22,46.66,1,629,76,160.3,15,1162,43,43,25,61,
ASCR,12,11.91,1,22,0,0,0,0,1,1,1,1,
FAS,7,7.27,1,20,58,65.5,12,167,2,2,2,2,
FNCS,17,17.43,1,62,16,28.67,1,180,8.5,15.5,1,45,
FS,14,21.71,1,615,29,47.36,1,575,11,9.8,3,17,
FSA,4,2.3,1,247,9,15.5,1,283,4,4,1,13,
FSIS,14,29.39,1,473,71,61,9,90,,,,,
GIPSA,3,4.46,1,32,33,61.27,3,244,,,,,
NAD,9,16.5,1,41,,,,,,,,,
NRCS,10.5,19.39,1,274,16,33,1,107,,,,,
OBPA,9,8.45,1,18,28,34.5,9,73,,,,,
OCFO,8,7.33,1,17,21.5,21.5,20,23,,,,,
OGC,36,58,1,262,,,,,,,,,
OIG,22,25,6,79,42,46,33,283,,,,,
OSEC/OCIO/DM,16,37.03,1,647,55.5,135.57,1,700,,,,,
RD,48.5,83.7,1,351,87,136.82,5,1145,,,,,
REE,10,9.53,1,21,19,18.63,1,89,,,,,
RMA,12,29.3,1,282,14.5,107.83,1,799,,,,,
Total,14,16,1,647,19,43,0,1162,11,16,1,61,
