Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ACF,488,536,1,1260,60,119,1,992,182,182,156,207,
CMS,11,18,1,634,2,36,1,717,37,102,1,512,
OIG,2,4,1,20,9,23,1,277,,,,,
CDC,21,90.21,1,1041,52,150,1,1541,97,97,97,97,
FDA,9,27.6,1,1220,78,168.8,1,1465,22,173.7,1,495,
HRSA,,,,,64,76,1,252,,,,,
IHS,10,15,1,30,44,61,15,107,,,,,
NIH,12,15,1,93,43,70,1,742,,,,,
SAMHSA,100,132,1,710,168,199,1,570,,,,,
OS,,,,,1,71,,1453,1,46,1,303,
OASH,6,8,1,20,108,220,21,886,30,30,30,30,
ACL,14,13,1,60,,,,,,,,,
Total,10,29,0,1260,63,99,0,1541,30,98,0,512,
