Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BIS,15,25,1,181,225,225,225,225,1,3,3,7,
Census,18,18,1,125,0,0,0,0,33,39,30,60,
EDA,5,4,1,10,31,32,15,71,2,2,2,2,
ESA,6,7,1,19,0,0,0,0,0,0,0,0,
ITA,20,12,1,233,0,0,0,0,0,0,0,0,
MBDA,16,16,14,19,0,0,0,0,0,0,0,0,
NIST,5,26,1,920,0,0,0,0,0,0,0,0,
NOAA,9,9,1,20,42,67,21,456,35,80,25,105,
NTIA,12,9,1,20,22,28,1,34,0,0,0,0,
NTIS,4,4,1,8,0,0,0,0,5,5,5,5,
OIG,17,3,1,139,0,0,0,0,0,0,0,0,
OS,17,18,1,47,127,164,50,709,0,0,0,0,
PTO,8,8,1,30,0,0,0,0,0,0,0,0,
Total,20,16,1,920,50,30,1,709,20,17,2,105,
