Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
HQ,16,34.85,1,276,27.5,77.63,1,660,35,40.2,12,89,
OIG,9,9.98,1,93,28,28,15,41,18,18,18,18,
R01,14,12.73,1,31,16,18.1,1,58,18,18,18,18,
R02,19,18.11,1,79,23.5,22.36,2,58,3,4.5,2,10,
R03,10,12.9,1,54,14,21.19,1,64,23,23,23,23,
R04,15,15.09,1,96,19,21.44,1,96,3,3,3,3,
R05,19,19.49,5,17,17,13.71,1,35,0,0,0,0,
R06,13,14.79,1,72,6,12.88,1,50,0,0,0,0,
R07,11.5,13.74,1,54,11,11,8,14,0,0,0,0,
R08,20,20.27,24,92,0.5,0.5,1,1,0,0,0,0,
R09,14,18.86,1,72,15,14.39,1,49,0,0,0,0,
R0X,14,15.74,1,81,28.5,46,11,115,0,0,0,0,
Total,14,17,1,276,17,24,1,660,2,9,0,89,
