Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BEP,20,44,4,175,24,59,4,196,,,,,
DO,5,23,1,547,87,199,1,3018,344,344,344,344,
FinCEN,1,3,1,257,13,37,1,769,,,,,
IRS,,,,,17,28,1,904,457,379,25,561,
MINT,6,8,1,20,8,12,1,29,,,,,
OCC,7,10,,110,19,25,,156,23,24,2,64,
TIGTA,2,6,,19,19,23,,161,208,208,6,409,
TTB,2,4,1,20,16,17,1,31,,,,,
Fiscal Service,14,14,1,57,28,36,2,211,,,,,
Total,6,12,0,547,17,33,0,3018,37,170,2,561,
