Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FAA,10,15,,1323,30,61,,1472,17,25,,164,
FHWA,13,27,,531,23,52,,575,12,17,,51,
FMCSA,42,41,,108,50,53,1,307,9,16,,81,
FRA,,,,,39,76,1,565,,,,,
FTA,17,19,1,193,50,61,1,145,28,28,27,28,
MARAD,160,242,,878,49,149,38,360,,,,,
NHTSA,17,19,,170,30,51,2,296,10,10,10,10,
OIG,20,46,,178,122,143,1,305,4,4,3,4,
OST,2,8,,135,23,56,,582,,,,,
PHMSA,4,11,,107,13,93,,569,7,44,,252,
RITA,6,12,1,111,17,21,4,46,5,6,1,16,
SLSDC,12,11,2,20,113,113,113,113,,,,,
Total,13,21,0,1323,37,62,0,1472,10,24,0,252,
