Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ACF,62,62,1,903,83,108,1,670,86,86,86,86,
CMS,14,22,1,842,3,34,1,829,58,90,1,690,
OIG,1,3,1,19,21,28,1,173,,,,,
CDC,14,47,,930,41,153,,1427,41,37,11,51,
FDA,7,24,1,1167,51,138,1,1561,693,693,693,693,
HRSA,,,,,37,107,1,605,,,,,
IHS,10,15,5,80,42,60,14,172,,,,,
NIH,12,14,1,98,43,56,1,430,,,,,
SAMHSA,72,123,1,494,100,138,1,569,5,5,5,5,
OS,1,3,1,40,1,98,1,1681,5,59,1,871,
OASH,5,8,1,35,134,239,11,938,,,,,
ACL,20,20,25,28,,,,,,,,,
Total,14,24,0,1167,26,87,0,1561,90,40,0,871,
