Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
HQ,15,14.23,,19,40,44.28,,236,120,152,31,346,
Region 1,8.5,13.64,,16,34,38.8,1,851,,,,,
Region 2,16,18.88,,19,77,70.34,4,217,71,71,71,71,
Region 3,16,18.06,,19,35,33.56,5,525,32,32,32,32,
Region 4,14,18.83,,19,37,39.33,7,503,,,,,
Region 5,14,14.55,,17,33,35.01,,567,24,24,24,24,
Region 6,19,18.61,,19,41,44.49,,1186,,,,,
Region 7,15,14.2,,17,36,37.91,2,327,,,,,
Region 8,9,10.94,,14,34,33.02,,339,,,,,
Region 9,8.5,10.56,,11,34,28.87,,99,29,29,29,29,
Region 10,11,14.93,,17,42,47.43,9,337,,,,,
Total,15,17,0,19,30,46,0,1186,71,111,24,346,
