Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
FAA,794,86,198,189,52,106,9,42,62,
FHWA,42,44,81,5,264,220,1,577,577,
FMCSA,66,20,55,102,24,52,2,32,32,
FRA,0,,,129,34,152,0,,,
FTA,26,22,51,0,,,0,,,
MARAD,169,282,298,0,,,0,,,
NHTSA,22,8,17,0,,,0,,,
OIG,70,181,204,3,11,11,0,,,
OST,7,336,284,57,172,244,1,486,486,
PHMSA,45,106,292,1,226,226,0,,,
RITA,3,56,49,0,,,0,,,
SLSDC,0,,,0,,,0,,,
Total,1244,21,197,486,32,124,13,259,129,
