Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
FAA,841,28,115,428,53,175,8,76,237,
FHWA,16,10,10,9,34,39,1,2,2,
FMCSA,487,44,58,283,52,62,2,21,21,
FRA,0,,,98,69,100,12,50,55,
FTA,11,16,46,0,,,0,,,
MARAD,13,41,183,23,315,248,0,,,
NHTSA,57,77,87,20,86,127,0,,,
OIG,22,64,63,8,205,189,0,,,
OST,18,34,92,85,127,186,0,,,
PHMSA,38,80,81,37,251,303,7,310,312,
RITA,0,,,0,,,0,,,
SLSDC,0,,,0,,,0,,,
Total,1503,40,95,991,71,181,30,226,242,
