Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BLM,0,,,152,66,130,1,57,57,
BOEM,0,,,22,153,216,1,26,26,
BOR,0,,,17,16,43,0,,,
BSEE,0,,,34,39,86,0,,,
FWS,0,,,222,64,123,2,18,18,
NPS,8,89,96,112,73,108,2,94,94,
OIG,0,,,20,65,101,0,,,
OS,0,,,69,54,167,0,,,
OSM,0,,,16,59,71,0,,,
SOL,3,73,69,29,155,229,0,,,
USGS,0,,,27,109,116,0,,,
Total,12,78,82,859,58,116,6,30,51,
