Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
Admin,0,0,0,0,0,0,0,0,0,
BVA,0,0,0,1,4,4,0,0,0,
C&LA,0,0,0,5,26,21,0,0,0,
CFM,29,130,102,28,63,120,0,0,0,
GC,1,31,31,14,42,53,0,0,0,
HRM,3,27,42,9,51,95,0,0,0,
IG,7,10,9,13,13,36,0,0,0,
Mgmt,1,396,396,4,201.5,215,0,0,0,
NCA,2,39.5,39,21,29.5,51,0,0,0,
OAL,2,41.5,41,36,67.5,85,0,0,0,
OASHRA,0,0,0,2,35.5,35,0,0,0,
OASP&IA,1,39,39,5,220,193,0,0,0,
ODASB,0,0,0,2,21,21,0,0,0,
ODASIA,0,0,0,1,176,176,0,0,0,
ODI,0,0,0,1,195,195,0,0,0,
OF,1,17,17,1,52,52,0,0,0,
OIT,3,19,17,15,34,48,1,111,111,
ORM,1,2,2,3,8,12,0,0,0,
OSDBU,0,0,0,4,27.5,33,0,0,0,
OSP,0,0,0,1,357,357,0,0,0,
P&P,1,333,333,1,26,26,0,0,0,
PA,0,0,0,3,326,224,0,0,0,
SEC,0,0,0,21,84,191,1,31,31,
VBA,10,123,108,317,64,74,1,0,0,
VHA,345,9,22,507,13,48,2,31,31,
Total,431,10,31,1068,25,64,5,31,40,
