Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
CBP,40062,122,151.2,197,68,98.2,0,,,
CRCL,0,,,3,4,3.33,0,,,
FEMA,343,156,195.07,217,55,131.67,0,,,
FLETC,3,10,22,0,,,0,,,
I&A,0,,,36,23.5,27.19,0,,,
ICE,5359,54,75.52,837,82,89.52,2,13.5,13.5,
NPPD,4539,37,39.18,25,18,39.72,0,,,
OIG,6,8.5,29.83,42,46,85.38,3,179,162,
OPS,0,,,0,,,0,,,
PRIV,5,4,4.6,38,35,91.63,0,,,
S&T,0,,,1,136,136,0,,,
TSA,68,9,9.12,556,236,290.73,0,,,
USCG,265,13,11.31,892,225.5,293.91,0,,,
USCIS,1757,18.5,22.46,8180,15.07,20.76,3,108.92,102.52,
USSS,100,1,5.49,677,304,355.77,0,0,0,
Total,52507,13,51,11701,55,128,8,61,70,
