Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
AMS,6,39.5,40,23,135.5,176.8,0,,,
APHIS,319,74,125,16,295,319,0,,,
ASCR,1,9,9,0,,,0,,,
FAS,0,0,0,1,73,73,0,,,
FNCS,20,15.5,18,2,13.5,13,0,,,
FS,312,33.5,103,85,54,156,1,77,77,
FSA,47,112,129,56,64,65,0,,,
FSIS,97,92,121,30,774.5,774,0,,,
GIPSA,1,10,10,1,7,7,0,,,
NAD,2,10.5,10.5,0,,,0,,,
NRCS,114,113,120,12,34.5,102,1,105,105,
OBPA,2,6,6,1,14,14,0,,,
OCFO,7,71,109,1,352,352,0,,,
OGC,16,179,297,0,,,0,,,
OIG,73,110,139,0,,,0,,,
OSEC/OCIO/DM,62,48.5,66,31,303,303.5,0,,,
RD,293,273,278,26,343,357,0,,,
REE,0,0,0,4,7.5,8,0,,,
RMA,4,92,105,2,354.5,354,0,,,
Total,1303,92,158,364,133,193,2,91,91,
