Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BEP,0,7,7.8,0,20,16.9,0,0,0,
BPD,0,0,0,0,0,0,0,0,0,
DO,0,0,0,452,265,542,42,90,93,
FinCEN,0,0,0,2,3,3,0,0,0,
FMS,0,0,0,2,2,2,0,0,0,
IRS,0,0,0,881,12,27.5,0,0,0,
MINT,0,0,0,2,11,11,0,0,0,
OCC,35,4,14,10,6,13,5,0,9,
OTS,0,0,0,44,28,69,0,0,0,
TIGTA,18,12,9,0,0,0,0,0,0,
TTB,2,14,14,1,14,14,0,0,0,
Total,55,10,9,1394,21,191,47,90,85,
