Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BEP,0,,,0,,,0,,,
BPD,0,,,1,1,1,0,,,
DO,0,,,350,284,481.97,6,6,8,
FinCEN,0,,,0,,,1,1,1,
FMS,0,,,13,2,4,0,,,
IRS,0,,,607,14,27.77,1,1,1,
MINT,0,,,4,2,5,0,,,
OCC,73,19,27,5,42,39,4,15.5,14,
OTS,40,9,64,0,,,0,,,
TIGTA,1,16,16,22,9,8,0,,,
TTB,0,,,0,,,0,,,
Total,114,6,13,1002,22,167,12,4,6,
