Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
FAA,846,37,145,148,41,91,11,21,24,
FHWA,55,122,142,4,43,84,0,,,
FMCSA,78,20,20,89,22,27,0,,,
FRA,109,70,107,0,,,0,,,
FTA,8,8,9,0,,,0,,,
MARAD,0,,,157,735,47,0,,,
NHTSA,0,,,52,34,70,0,,,
OIG,19,33,49,0,,,0,,,
OST,1,18,18,23,34,98,0,,,
PHMSA,1,45,45,42,27,45,0,,,
RITA,1,22,22,0,,,1,173,173,
SLSDC,0,,,0,,,0,,,
Total,1118,54,141,515,54,142,12,22,30,
