Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BPA,3,12,20,6,33,30,0,0,0,
CBFO,1,17,17,0,0,0,0,0,0,
CH,1,0,0,0,0,0,0,0,0,
EMCBC,2,149,149,1,47,47,0,0,0,
GFO,16,16,43,0,0,0,0,0,0,
HQ,207,54,147,87,137,227,2,421,421,
ID,3,4,8,0,0,0,0,0,0,
NETL,6,16,13,0,0,0,0,0,0,
NNSA,4,169,211,196,189,276,1,134,134,
NR,0,0,0,0,0,0,0,0,0,
NRLFO,3,96,111,0,0,0,0,0,0,
ORO,7,9,11,2,69.5,69,0,0,0,
OSTI,1,565,565,0,0,0,0,0,0,
ROO,3,11,21,0,0,0,0,0,0,
SEPA,0,0,0,0,0,0,0,0,0,
SPR,0,0,0,0,0,0,0,0,0,
SRO,3,10,9,0,0,0,0,0,0,
SWPA,3,9,7,0,0,0,0,0,0,
WAPA,0,0,0,0,0,0,0,0,0,
Total,263,116,153,292,155,255,3,324,325,
