Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
HQ,620,131,237.31,0,0,0,15,296,186.47,
Region 1,25,17,106.04,2,653,653,0,0,0,
Region 2,477,54,66.59,7,22,60.29,0,0,0,
Region 3,113,10,17.34,21,107,163.71,0,0,0,
Region 4,73,13,29.08,12,75.5,141.67,0,0,0,
Region 5,102,10,13.85,10,107,165.3,1,17,17,
Region 6,130,49,107.42,3,938,684.33,0,0,0,
Region 7,32,9,17.22,1,262,262,0,0,0,
Region 8,24,12,17.96,4,99,103.25,0,0,0,
Region 9,31,12,16.06,0,0,0,0,0,0,
Region 10,51,27,114.12,12,75,102.33,0,0,0,
Total,1678,46,124,72,104,173,16,256,270,
