Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BPA,9,16,20,46,193,187,0,0,0,
CBFO,0,0,0,0,0,0,0,0,0,
CH,0,0,0,3,31,33,0,0,0,
EMCBC,17,34,70,3,138,131,2,115,115,
GFO,4,23,25,0,0,0,0,0,0,
HQ,102,53.5,203,87,72,188,0,0,0,
ID,1,44,44,0,0,0,0,0,0,
NETL,2,130.5,130,0,0,0,0,0,0,
NNSA,2,952,952,221,247,434,0,0,0,
NR,0,0,0,0,0,0,0,0,0,
NRLFO,0,0,0,0,0,0,0,0,0,
ORO,2,40.5,40,3,142,105,0,0,0,
OSTI,6,267,373,0,0,0,0,0,0,
ROO,3,16,41,0,0,0,0,0,0,
SEPA,0,0,0,0,0,0,0,0,0,
SPR,1,30,30,0,0,0,0,0,0,
SRO,0,0,0,0,0,0,0,0,0,
SWPA,2,18.5,18,0,0,0,0,0,0,
WAPA,2,11.5,11,0,0,0,0,0,0,
Total,153,499,505,363,176,338,2,115,115,
