Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
ADJ BDS,2,0.5,0.5,0,0,0,0,0,0,
ALJ,0,0,0,2,119.5,119.5,0,0,0,
ASP,3,30,23.7,1,42,42,0,0,0,
BLS,3,30,20.3,2,15,15,0,0,0,
CFO,0,0,0,1,278,278,0,0,0,
EBSA,2,819,819,25,368,199,0,0,0,
ETA,68,5,17.9,85,6,10.6,0,0,0,
EXEC SEC,3,1327,1012,2,30,30,0,0,0,
ILAB,0,0,0,1,123,7,0,0,0,
MSHA,0,0,0,130,10,41.4,1,48,48,
OASAM,0,0,0,27,23,28.4,0,0,0,
OCIA,0,0,0,6,30,28.5,0,0,0,
ODEP,0,0,0,1,326,326,0,0,0,
OFCCP,0,0,0,34,26,40.7,0,0,0,
OIG,0,0,0,11,37,226,0,0,0,
OLMS,0,0,0,5,30,0.8,0,0,0,
OPA,0,0,0,22,100,179.4,0,0,0,
OSEC,0,0,0,0,0,0,0,0,0,
OSHA,113,8,19.6,295,12,37.4,0,0,0,
OWCP,8,413,412,31,42,227.5,0,0,0,
SOL,0,0,0,23,226,225.9,0,0,0,
VETS,16,154.5,131.4,109,21,64.4,0,0,0,
WB,4,60,92.3,1,115,115,0,0,0,
WHD,79,15,76,359,65,102.5,0,0,0,
Total,301,9,67,1173,23,74,1,48,48,
