Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BPA,4,7.5,8,7,41,52,0,0,0,
CBFO,0,0,0,0,0,0,0,0,0,
CH,3,2,4,2,125,125,0,0,0,
EMCBC,5,76,90,0,0,0,0,0,0,
GFO,5,8,10,0,0,0,0,0,0,
HQ,184,152.5,214,74,226,274,1,93,93,
ID,2,11,11,0,0,0,0,0,0,
NETL,3,1,18,0,0,0,0,0,0,
NNSA,3,206,368,229,253,365,0,0,0,
NR,0,0,0,0,0,0,0,0,0,
NRLFO,2,255,255,0,0,0,0,0,0,
ORO,11,47,73,5,124,142,0,0,0,
OSTI,1,815,815,0,0,0,0,0,0,
ROO,4,13.5,17,0,0,0,0,0,0,
SEPA,0,0,0,0,0,0,0,0,0,
SPR,0,0,0,0,0,0,0,0,0,
SRO,3,14,18,0,0,0,0,0,0,
SWPA,0,0,0,0,0,0,0,0,0,
WAPA,1,9,9,0,0,0,0,0,0,
Total,231,264,289,317,227,326,1,93,93,
