Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BIA,1,1,1,89,14,69,0,,,
BLM,0,,,134,54,132,0,,,
BOEM,0,,,24,67,93,0,,,
BOR,0,,,6,6,7,0,,,
BSEE,0,,,23,146,239,1,6,6,
FWS,0,,,106,45,103,0,,,
NPS,0,,,97,24,97,1,101,101,
OIG,0,,,66,583,585,0,,,
OS,0,,,71,94,161,0,,,
OSM,0,,,9,18,101,0,,,
SOL,0,,,57,176,264,0,,,
USGS,0,,,13,14,14,0,,,
Total,1,1,1,629,45,127,2,54,54,
