Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
HQ,101,367,190,44,277,169,0,0,0,
OIG,17,17,17,0,0,0,0,0,0,
R01,0,0,0,0,0,0,0,0,0,
R02,2,1,1,0,0,0,0,0,0,
R03,1,2,2,2,3,3,0,0,0,
R04,2,4,4,2,35,51,0,0,0,
R05,0,0,0,0,0,0,0,0,0,
R06,0,0,0,0,0,0,0,0,0,
R07,3,25,34,2,29,43,0,0,0,
R08,2,15,30,0,0,0,0,0,0,
R09,1,11,11,3,25,40,0,0,0,
R0X,0,0,0,0,0,0,0,0,0,
Total,129,442,289,53,369,306,0,0,0,
