Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
Admin,4,48,66,3,232,229,0,,,
BVA,0,,,1,18,18,0,,,
C&LA,1,33,33,2,40.5,40,0,,,
CFM,4,419.5,391,67,167,179,0,,,
GC,1,54,54,19,48,60,0,,,
HRM,4,81,173,3,81,66,0,,,
IG,0,,,25,10,24,0,,,
Mgmt,1,9,9,4,101.5,166,0,,,
NCA,3,170,155,27,39,73,0,,,
OAL,4,41,44,34,19,43,0,,,
OASHRA,0,,,10,237.5,248,0,,,
OASP&IA,2,329,329,15,231,355,0,,,
ODASB,0,,,0,,,0,,,
ODASIA,0,,,3,282,326,0,,,
ODI,0,,,1,177,177,0,,,
OF,1,16,16,0,,,0,,,
OIT,6,13,56,31,60,140,0,,,
ORM,0,,,1,6,6,0,,,
OSDBU,0,,,4,51,161,0,,,
OSP,0,,,0,,,0,,,
P&P,0,,,1,147,147,0,,,
PA,0,,,8,60.5,87,0,,,
SEC,4,2.5,35,30,45,56,0,,,
VBA,80,212,191,424,96,147,0,,,
VHA,934,13,30,637,34,63,8,95,93,
Total,1049,14,46,1325,53,104,8,95,93,
