Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BEP,0,5,7.8,0,5,10.9,0,5,5,
BPD,0,0,0,0,0,0,0,0,0,
DO,0,0,0,142,103,114,0,0,0,
FinCEN,2,15,15,0,0,0,0,0,0,
FMS,0,0,0,9,1,2,0,0,0,
IRS,0,0,0,981,18,78,2,8,8,
MINT,0,0,0,1,17,17,0,0,0,
OCC,13,10,10,10,10,15,0,0,0,
OTS,0,0,0,57,37,72,0,0,0,
TIGTA,12,12,10,4,14,15,0,0,0,
TTB,2,14,16,6,20,23,0,0,0,
Total,29,56,59,1210,225,347,2,13,13,
