Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BIS,1,15,15,1,60,60,0,0,0,
Census,39,17,27,0,0,0,1,156,156,
EDA,1,1,1,2,81,81,0,0,0,
ESA,0,0,0,0,0,0,0,0,0,
ITA,7,25,32,0,0,0,0,0,0,
MBDA,1,14,14,0,0,0,0,0,0,
NIST,49,154,258,0,0,0,0,0,0,
NOAA,0,0,0,103,87,125,3,88,94,
NTIA,0,0,0,12,125,115,0,0,0,
NTIS,0,0,0,0,0,0,0,0,0,
OIG,13,6,9,0,0,0,0,0,0,
OS,19,16,18,6,127,133,0,0,0,
PTO,15,4,5,0,0,0,0,0,0,
Total,145,12,26,124,38,85,4,96,104,
