Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
Admin,0,,,3,83,99,0,,,
BVA,1,32,32,1,13,13,0,,,
C&LA,0,,,2,45.5,45,0,,,
CFM,13,295,290,60,156,165,0,,,
GC,1,96,96,16,38.5,41,0,,,
HRM,4,242.5,210,13,259,230,1,109,109,
IG,1,137,137,1,133,133,0,,,
Mgmt,1,647,647,5,150,246,0,,,
NCA,1,110,110,10,71.5,72,0,,,
OAL,0,,,13,9,84,0,,,
OASHRA,0,,,5,114,134,0,,,
OASP&IA,1,290,290,8,368,328,0,,,
ODASB,0,,,4,220.5,219,0,,,
ODASIA,0,,,33,102,106,0,,,
ODI,0,,,1,446,446,0,,,
OF,0,,,0,,,0,,,
OIT,4,13.5,19,31,26,52,0,,,
ORM,2,110.5,110,1,168,168,0,,,
OSDBU,0,,,3,241,183,0,,,
OSP,0,,,1,608,608,0,,,
P&P,1,584,584,0,,,0,,,
PA,0,,,4,417,404,0,,,
SEC,23,115,107,18,87,90,0,,,
VBA,25,198,193,582,90.5,115,0,,,
VHA,486,8,18,384,13,40,1,44,44,
Total,564,10,40,1199,63,95,2,77,76,
