Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
Admin,0,0,0,0,0,0,0,0,0,
BVA,0,0,0,1,103,103,0,0,0,
C&LA,0,0,0,0,0,0,0,0,0,
CFM,0,0,0,24,40,44,0,0,0,
GC,0,0,0,9,33,40,0,0,0,
HRM,0,0,0,12,174,169,0,0,0,
IG,0,0,0,1,0,0,0,0,0,
Mgmt,0,0,0,0,0,0,0,0,0,
NCA,0,0,0,24,9,9,0,0,0,
OAL,0,0,0,37,63,84,0,0,0,
OASHRA,0,0,0,0,0,0,0,0,0,
OASP&IA,0,0,0,0,0,0,0,0,0,
ODASB,0,0,0,0,0,0,0,0,0,
ODASIA,0,0,0,0,0,0,0,0,0,
ODI,0,0,0,0,0,0,0,0,0,
OF,0,0,0,1,21,21,0,0,0,
OI&T,0,0,0,17,42,63,0,0,0,
ORM,0,0,0,0,0,0,0,0,0,
OSDBU,0,0,0,4,115,119,0,0,0,
OSP,0,0,0,0,0,0,0,0,0,
P&P,0,0,0,0,0,0,0,0,0,
PA,0,0,0,0,0,0,0,0,0,
SEC,0,0,0,6,100,113,0,0,0,
VBA,0,0,0,485,30,57,1,104,104,
VHA,0,0,0,730,15,44,0,0,0,
Total,0,0,0,1351,20,51,1,104,104,
