Agency,Average Number of Days to Adjudicate,Component,Median Number of Days to Adjudicate,Number Denied,Number Granted,Year
CEQ,25.0,CEQ,25.0,0.0,1.0,2008
CFTC,18.0,CFTC,18.0,1.0,0.0,2008
CNCS,0.0,CNCS,0.0,0.0,0.0,2008
CO,0.0,CO,0.0,0.0,0.0,2008
CPPBSD,0.0,CPPBSD,0.0,0.0,0.0,2008
CSB,20.0,CSB,20.0,0.0,2.0,2008
DHS,14.0,CBP,14.0,1.0,1.0,2008
DHS,0.0,CRCL,0.0,0.0,0.0,2008
DHS,8.0,FEMA,4.0,31.0,2.0,2008
DHS,1.0,FLETC,1.0,8.0,0.0,2008
DHS,0.0,I&A,0.0,0.0,0.0,2008
DHS,5.14,ICE,1.0,32.0,12.0,2008
DHS,0.0,MGMT,0.0,0.0,0.0,2008
DHS,0.0,NPPD,0.0,0.0,0.0,2008
DHS,0.0,OGC,0.0,0.0,0.0,2008
DHS,0.0,OIG,0.0,0.0,0.0,2008
DHS,0.0,OPS,0.0,0.0,0.0,2008
DHS,0.0,PLCY,0.0,0.0,0.0,2008
DHS,9.43,PRIV,5.0,7.0,0.0,2008
DHS,0.0,S&T,0.0,0.0,0.0,2008
DHS,0.0,TSA,0.0,0.0,0.0,2008
DHS,0.0,US-VISIT,0.0,0.0,0.0,2008
DHS,0.0,USCG,0.0,0.0,0.0,2008
DHS,2.0,USCIS,0.0,68.0,28.0,2008
DHS,20.3,USSS,19.0,9.0,0.0,2008
DNFSB,0.0,OGC,0.0,0.0,0.0,2008
DNFSB,0.02,OGM,0.0,0.0,6.0,2008
DOC,34.0,BIS,16.0,2.0,1.0,2008
DOC,1.0,Census,1.0,0.0,1.0,2008
DOC,1.0,EDA,1.0,0.0,2.0,2008
DOC,0.0,ESA,0.0,0.0,0.0,2008
DOC,0.0,ITA,0.0,0.0,0.0,2008
DOC,0.0,MBDA,0.0,0.0,0.0,2008
DOC,45.0,NIST,45.0,1.0,0.0,2008
DOC,14.0,NOAA,28.0,5.0,50.0,2008
DOC,18.0,NTIA,22.0,1.0,3.0,2008
DOC,1.0,NTIS,1.0,0.0,3.0,2008
DOC,0.0,OIG,0.0,0.0,0.0,2008
DOC,10.0,OS,10.0,0.0,1.0,2008
DOC,11.0,PTO,10.0,4.0,2.0,2008
DoD,,AF,,0.0,0.0,2008
DoD,75.0,ARMY,32.0,251.0,352.0,2008
DoD,0.0,ASBCA,0.0,0.0,0.0,2008
DoD,0.0,CENTCOM,0.0,0.0,0.0,2008
DoD,14.0,DCAA,13.0,15.0,1.0,2008
DoD,1.0,DCMA,1.0,0.0,1.0,2008
DoD,1.0,DeCA,1.0,1.0,0.0,2008
DoD,0.0,DFAS,0.0,0.0,0.0,2008
DoD,0.0,DIA,0.0,0.0,0.0,2008
DoD,0.0,DISA,0.0,0.0,0.0,2008
DoD,0.0,DLA,0.0,0.0,0.0,2008
DoD,8.0,DoDEA,8.0,0.0,1.0,2008
DoD,0.0,DoDIG,0.0,0.0,0.0,2008
DoD,0.0,DSS,0.0,0.0,0.0,2008
DoD,0.0,DTIC,0.0,0.0,0.0,2008
DoD,0.0,DTRA,0.0,0.0,0.0,2008
DoD,0.0,EUCOM,0.0,0.0,0.0,2008
DoD,0.0,JFCOM,0.0,0.0,0.0,2008
DoD,285.0,NAVY,243.0,30.0,938.0,2008
DoD,0.0,NGA,0.0,0.0,0.0,2008
DoD,5.0,NORTHCOM,3.0,3.0,0.0,2008
DoD,0.0,NRO,0.0,0.0,0.0,2008
DoD,45.0,NSA,24.0,13.0,11.0,2008
DoD,,OSD/JS,,50.0,0.0,2008
DoD,0.0,PACOM,0.0,0.0,0.0,2008
DoD,65.0,SOCOM,65.0,2.0,0.0,2008
DoD,0.0,SOUTHCOM,0.0,0.0,0.0,2008
DoD,11.0,STRATCOM,9.0,1.0,2.0,2008
DoD,1.0,TRANSCOM,1.0,3.0,0.0,2008
DoD,49.0,TRICARE,23.0,0.0,5.0,2008
DOE,0.0,BPA,0.0,0.0,0.0,2008
DOE,0.0,CBFO,0.0,0.0,0.0,2008
DOE,1.0,CH,1.0,0.0,1.0,2008
DOE,7.0,EMCBC,7.0,1.0,1.0,2008
DOE,0.0,GFO,0.0,0.0,0.0,2008
DOE,8.0,HQ,5.0,3.0,10.0,2008
DOE,51.0,ID,51.0,0.0,2.0,2008
DOE,0.0,NETL,0.0,0.0,0.0,2008
DOE,0.0,NNSA/AL,0.0,0.0,0.0,2008
DOE,0.0,NR,0.0,0.0,0.0,2008
DOE,5.0,ORO,1.0,0.0,3.0,2008
DOE,0.0,OSTI,0.0,0.0,0.0,2008
DOE,0.0,PNSO,0.0,0.0,0.0,2008
DOE,0.0,RL,0.0,0.0,0.0,2008
DOE,0.0,SEPA,0.0,0.0,0.0,2008
DOE,0.0,SPR,0.0,0.0,0.0,2008
DOE,0.0,SROO,0.0,0.0,0.0,2008
DOE,0.0,SWPA,0.0,0.0,0.0,2008
DOE,1.0,WAPA,1.0,0.0,1.0,2008
DOI,16.5,BIA,12.0,3.0,26.0,2008
DOI,2.0,BLM,0.0,14.0,160.0,2008
DOI,14.0,BOR,9.0,0.0,9.0,2008
DOI,3.0,FWS,0.0,9.0,263.0,2008
DOI,8.0,MMS,6.0,8.0,12.0,2008
DOI,64.0,NPS,64.0,4.0,16.0,2008
DOI,23.0,OIG,14.0,0.0,5.0,2008
DOI,11.0,OS,9.0,17.0,20.0,2008
DOI,1.0,OSM,0.0,0.0,3.0,2008
DOI,2.0,SOL,2.0,0.0,1.0,2008
DOI,0.0,USGS,0.0,0.0,0.0,2008
DOJ,,Office of the AG,,0.0,0.0,2008
DOJ,,Office of the DAG,,0.0,0.0,2008
DOJ,,Office of the Assoc. AG,,0.0,0.0,2008
DOJ,1.0,Antitrust,1.0,3.0,0.0,2008
DOJ,10.0,ATF,4.0,11.0,32.0,2008
DOJ,1.06,BOP,1.0,1126.0,5.0,2008
DOJ,12.0,Civil,10.0,0.0,6.0,2008
DOJ,2.0,Civil Rights,2.0,2.0,0.0,2008
DOJ,,COPS,,0.0,0.0,2008
DOJ,13.0,Criminal,12.0,5.0,0.0,2008
DOJ,,CRS,,0.0,0.0,2008
DOJ,1.0,DEA,1.0,45.0,1.0,2008
DOJ,10.0,ENRD,10.0,1.0,0.0,2008
DOJ,6.0,EOIR,2.0,10.0,2.0,2008
DOJ,48.42,EOUSA,37.0,22.0,0.0,2008
DOJ,,EOUST,,0.0,0.0,2008
DOJ,295.0,FBI,282.0,25.0,17.0,2008
DOJ,,FCSC,,0.0,0.0,2008
DOJ,1.0,JMD,1.0,1.0,0.0,2008
DOJ,,NDIC,,0.0,0.0,2008
DOJ,4.0,NSD,2.0,4.0,18.0,2008
DOJ,,ODR,,0.0,0.0,2008
DOJ,32.17,OFDT,26.5,0.0,6.0,2008
DOJ,1.0,OIG,1.0,0.0,1.0,2008
DOJ,,OIP,,0.0,0.0,2008
DOJ,,OIPL,,0.0,0.0,2008
DOJ,,OJP,,0.0,0.0,2008
DOJ,,OLA,,0.0,0.0,2008
DOJ,,OLC,,0.0,0.0,2008
DOJ,,OLP,,0.0,0.0,2008
DOJ,,OPR,,0.0,0.0,2008
DOJ,,OSG,,0.0,0.0,2008
DOJ,,OVW,,0.0,0.0,2008
DOJ,,Pardon Attorney,,0.0,0.0,2008
DOJ,,Public Affairs,,0.0,0.0,2008
DOJ,,PRAO,,0.0,0.0,2008
DOJ,5.0,TAX,5.0,1.0,0.0,2008
DOJ,3.7,USMS,1.0,16.0,1.0,2008
DOJ,3.24,USNCB,3.0,10.0,73.0,2008
DOJ,1.0,USPC,1.0,1.0,0.0,2008
DOT,3.0,FAA,1.0,10.0,40.0,2008
DOT,,FHWA,,0.0,0.0,2008
DOT,,FMCSA,,0.0,0.0,2008
DOT,,FRA,,0.0,0.0,2008
DOT,,FTA,,0.0,0.0,2008
DOT,90.0,MARAD,1.0,1.0,2.0,2008
DOT,1.0,NHTSA,1.0,4.0,0.0,2008
DOT,,OIG,,0.0,0.0,2008
DOT,,OST,,0.0,0.0,2008
DOT,,PHMSA,,0.0,0.0,2008
DOT,1.0,RITA,1.0,0.0,6.0,2008
DOT,46.0,SLSDC,46.0,0.0,1.0,2008
ED,0.0,FSA,0.0,0.0,0.0,2008
ED,0.0,IES,0.0,0.0,0.0,2008
ED,0.0,OCFO,0.0,0.0,0.0,2008
ED,0.0,OCFO-CAM,0.0,0.0,0.0,2008
ED,0.0,OCFO-FSS,0.0,0.0,0.0,2008
ED,0.0,OCIO,0.0,0.0,0.0,2008
ED,0.0,OCO,0.0,0.0,0.0,2008
ED,0.0,OCR,0.0,0.0,0.0,2008
ED,0.0,OCR-Atlanta,0.0,0.0,0.0,2008
ED,58.0,OCR-Boston,58.0,1.0,0.0,2008
ED,11.0,OCR-Chicago,3.0,4.0,1.0,2008
ED,0.0,OCR-Cleveland,0.0,1.0,0.0,2008
ED,11.0,OCR-Dallas,5.0,6.0,1.0,2008
ED,5.0,OCR-Denver,2.0,4.0,0.0,2008
ED,0.0,OCR-Kansas City,0.0,0.0,0.0,2008
ED,2.0,OCR-Metro,2.0,2.0,0.0,2008
ED,0.0,OCR-New York,0.0,0.0,0.0,2008
ED,0.0,OCR-Philadelphia,0.0,0.0,0.0,2008
ED,12.0,OCR-San Francisco,9.0,3.0,0.0,2008
ED,2.0,OCR-Seattle,2.0,1.0,1.0,2008
ED,0.0,OELA,0.0,0.0,0.0,2008
ED,0.0,OESE,0.0,0.0,0.0,2008
ED,0.0,OGC,0.0,0.0,0.0,2008
ED,0.0,OIG,0.0,0.0,0.0,2008
ED,0.0,OII,0.0,0.0,0.0,2008
ED,0.0,OLCA,0.0,0.0,0.0,2008
ED,0.0,OM,0.0,0.0,0.0,2008
ED,71.0,OM-RIMS,4.0,300.0,0.0,2008
ED,0.0,OPE,0.0,0.0,0.0,2008
ED,0.0,OPEPD,0.0,0.0,0.0,2008
ED,0.0,OS,0.0,0.0,0.0,2008
ED,0.0,OSDFS,0.0,0.0,0.0,2008
ED,0.0,OSERS,0.0,0.0,0.0,2008
ED,0.0,OUS,0.0,0.0,0.0,2008
ED,0.0,OVAE,0.0,0.0,0.0,2008
EPA,185.99,HQ,52.5,26.0,48.0,2008
EPA,35.0,Region 1,35.0,2.0,2.0,2008
EPA,725.0,Region 2,725.0,0.0,4.0,2008
EPA,24.08,Region 3,26.0,0.0,12.0,2008
EPA,27.7,Region 4,25.0,5.0,18.0,2008
EPA,35.3,Region 5,36.0,1.0,9.0,2008
EPA,68.5,Region 6,45.0,4.0,8.0,2008
EPA,17.2,Region 7,21.0,1.0,4.0,2008
EPA,21.62,Region 8,20.0,1.0,7.0,2008
EPA,18.0,Region 9,21.0,0.0,5.0,2008
EPA,37.96,Region 10,33.0,6.0,18.0,2008
Ex-Im Bank,,Ex-Im Bank,,1.0,20.0,2008
FCA,,FCA,,0.0,0.0,2008
FCC,8.7,FCC,6.0,13.0,2.0,2008
FCSIC,,FCSIC,,0.0,0.0,2008
FDIC,1.0,FDIC,1.0,1.0,6.0,2008
