10th,2nd,3rd,4th,5th,6th,7th,8th,9th,Agency,Component,Oldest Request,Unnamed: 1,Year
,,,,,,,,,CFTC,CFTC,2008-08-01,Date of Receipt,2008
,,,,,,,,,CFTC,CFTC,41,Number of Days Pending,2008
,2008-08-18,2008-09-03,,,,,,,DHS,CBP,2008-04-11,Date of Receipt,2008
,31,20,,,,,,,DHS,CBP,120,Number of Days Pending,2008
,2008-07-23,,,,,,,,DHS,CRCL,2007-08-01,Date of Receipt,2008
,49,,,,,,,,DHS,CRCL,294,Number of Days Pending,2008
,2008-08-14,,,,,,,,DHS,FEMA,2008-01-28,Date of Receipt,2008
,33,,,,,,,,DHS,FEMA,173,Number of Days Pending,2008
,2008-09-11,,,,,,,,DHS,ICE,2008-09-11,Date of Receipt,2008
,14,,,,,,,,DHS,ICE,14,Number of Days Pending,2008
,2008-07-09,,,,,,,,DHS,PRIV,2008-07-08,Date of Receipt,2008
,60,,,,,,,,DHS,PRIV,61,Number of Days Pending,2008
,,,,,,,,,DHS,TSA,2008-04-10,Date of Receipt,2008
,,,,,,,,,DHS,TSA,121,Number of Days Pending,2008
,2004-08-02,2004-12-01,2008-07-31,2008-08-26,2008-09-03,2008-09-16,,,DHS,USCG,2004-07-01,Date of Receipt,2008
,1050,963,43,25,20,11,,,DHS,USCG,1072,Number of Days Pending,2008
2008-08-11,2006-09-07,2006-09-07,2006-11-30,2007-11-27,2008-07-16,2008-07-21,2008-08-06,2008-08-06,DHS,USCIS,2006-06-02,Date of Receipt,2008
36,519,519,462,214,54,51,39,39,DHS,USCIS,586,Number of Days Pending,2008
,2008-07-18,2008-08-27,2008-08-27,2008-08-28,,,,,DOC,BIS,2008-07-18,Date of Receipt,2008
,55,23,23,22,,,,,DOC,BIS,55,Number of Days Pending,2008
2007-11-06,2006-09-21,2007-03-20,2007-08-27,2007-09-18,2007-10-29,2007-10-29,2007-10-29,2007-10-29,DoD,ARMY,2006-09-14,Date of Receipt,2008
226,507,387,275,260,232,232,232,232,DoD,ARMY,512,Number of Days Pending,2008
,2008-07-30,2008-07-30,2008-08-07,2008-08-22,,,,,DoD,CENTCOM,2008-07-30,Date of Receipt,2008
,44,44,38,27,,,,,DoD,CENTCOM,44,Number of Days Pending,2008
2003-03-12,2001-12-17,2002-01-24,2002-02-06,2002-05-13,2002-09-13,2002-09-27,2002-12-10,2003-01-06,DoD,DIA,2001-12-17,Date of Receipt,2008
1393,1700,1676,1667,1600,1514,1504,1455,1438,DoD,DIA,1700,Number of Days Pending,2008
,,,,,,,,,DoD,DISA,2008-05-20,Date of Receipt,2008
,,,,,,,,,DoD,DISA,93,Number of Days Pending,2008
,2008-06-27,2008-07-02,2008-08-08,,,,,,DoD,NAVY,2008-03-24,Date of Receipt,2008
,66,63,37,,,,,,DoD,NAVY,134,Number of Days Pending,2008
2006-09-14,2006-04-25,2006-06-27,2006-07-12,2006-07-31,2006-08-15,2006-08-28,2006-08-28,2006-09-01,DoD,NGA,2005-12-21,Date of Receipt,2008
512,611,567,557,544,533,524,524,520,DoD,NGA,696,Number of Days Pending,2008
,2008-09-25,,,,,,,,DoD,NRO,2008-08-13,Date of Receipt,2008
,4,,,,,,,,DoD,NRO,34,Number of Days Pending,2008
2007-03-27,2001-07-27,2001-11-21,2003-05-22,2006-02-16,2006-05-26,2006-05-30,2006-06-22,2006-12-15,DoD,NSA,1998-11-24,Date of Receipt,2008
382,1797,1717,1342,658,588,587,570,449,DoD,NSA,2468,Number of Days Pending,2008
2008-07-28,2008-07-03,2008-07-08,2008-07-08,2008-07-09,2008-07-09,2008-07-09,2008-07-16,2008-07-25,DoD,OSD/JS,2008-07-03,Date of Receipt,2008
46,62,60,60,59,59,59,54,47,DoD,OSD/JS,62,Number of Days Pending,2008
,2008-09-05,2008-09-22,2008-09-22,,,,,,DoD,PACOM,2008-07-01,Date of Receipt,2008
,18,7,7,,,,,,DoD,PACOM,64,Number of Days Pending,2008
2008-07-07,2007-02-09,2007-02-12,2007-04-16,2007-06-20,2007-06-22,2008-01-07,2008-06-18,2008-06-30,DoD,SOCOM,2006-11-03,Date of Receipt,2008
61,413,412,368,322,320,187,73,65,DoD,SOCOM,477,Number of Days Pending,2008
2000-11-28,1995-06-29,1995-06-30,1996-07-22,1997-01-31,1997-02-28,1997-06-23,1999-11-23,1999-12-01,DoD,STRATCOM,1994-12-29,Date of Receipt,2008
