Year,Agency,Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year
2009,CEQ,CEQ,0,0,0,0
2009,CFTC,CFTC,1,4,5,0
2009,CIA,CIA,172,241,212,201
2009,CO,CO,0,0,0,0
2009,CPPBSD,CPPBSD,0,1,1,0
2009,CSB,CSB,0,3,3,0
2009,DHS,CBP,119,540,271,388
2009,DHS,FLETC,0,2,2,0
2009,DHS,OGC,381,212,73,520
2009,DHS,TSA,6,33,37,2
2009,DHS,USCG,33,74,38,69
2009,DHS,USCIS,1978,1217,1185,2010
2009,DHS,USSS,22,51,67,6
2009,DNFSB,OGC,0,0,0,0
2009,DNFSB,OGM,0,0,0,0
2009,DOC,PTO,0,15,15,0
2009,DOC,AGC/Admin.,87,68,95,60
2009,DoD,AF,37,200,184,53
2009,DoD,AFRICOM,0,0,0,0
2009,DoD,ARMY,65,147,195,17
2009,DoD,ASBCA,0,0,0,0
2009,DoD,CENTCOM,0,0,0,0
2009,DoD,DCAA,0,5,5,0
2009,DoD,DCMA,0,3,3,0
2009,DoD,DeCA,0,2,2,0
2009,DoD,DFAS,0,3,2,1
2009,DoD,DIA,188,42,14,216
2009,DoD,DISA,0,3,1,2
2009,DoD,DLA,6,16,14,8
2009,DoD,DoDEA,0,0,0,0
2009,DoD,DoDIG,7,16,10,13
2009,DoD,DSS,0,2,2,0
2009,DoD,DTIC,0,0,0,0
2009,DoD,DTRA,0,3,3,0
2009,DoD,EUCOM,0,0,0,0
2009,DoD,JFCOM,0,0,0,0
2009,DoD,NAVY,45,282,307,20
2009,DoD,NGA,7,4,0,11
2009,DoD,NGB,0,0,0,0
2009,DoD,NORTHCOM,0,0,0,0
2009,DoD,NRO,4,5,2,7
2009,DoD,NSA,8,74,59,23
2009,DoD,OSD/JS,340,154,222,272
2009,DoD,PACOM,0,0,0,0
2009,DoD,SOCOM,0,0,0,0
2009,DoD,SOUTHCOM,0,0,0,0
2009,DoD,STRATCOM,0,0,0,0
2009,DoD,TRANSCOM,0,0,0,0
2009,DoD,TRICARE,0,0,0,0
2009,DOE,HQ,13,49,58,4
2009,DOI,Appeals,553,149,259,443
2009,DOJ,OIP,716,2884,2948,652
2009,DOJ,USPC,1,13,12,2
2009,DOT,FAA,77,115,110,82
2009,DOT,FHWA,11,20,20,11
2009,DOT,FMCSA,6,2,8,0
2009,DOT,FRA,1,6,4,3
2009,DOT,FTA,2,0,2,0
2009,DOT,MARAD,0,5,3,2
2009,DOT,NHTSA,1,7,8,0
2009,DOT,OIG,1,12,10,3
2009,DOT,OST,0,3,1,2
2009,DOT,PHMSA,2,1,3,0
2009,DOT,RITA,0,3,3,0
2009,DOT,SLSDC,0,0,0,0
2009,ED,OM-RIMS,37,46,55,28
2009,EPA,HQ,160,167,217,110
2009,Ex-Im Bank,AGENCY,0,2,2,0
2009,FCA,FCA,0,2,2,0
2009,FCC,FCC,30,14,37,7
2009,FCSIC,FCSIC,0,0,0,0
2009,FDIC,FDIC,2,51,49,4
2009,FEC,FEC,1,1,1,1
2009,FERC,FERC,1,14,13,2
2009,FFIEC,FFIEC,0,0,0,0
2009,FHFA,FHFA,0,10,10,0
2009,FLRA,FSIP,0,0,0,0
2009,FLRA,Authority,0,2,2,0
2009,FLRA,OGC,0,0,0,0
2009,FMC,FMC,0,1,0,1
2009,FMCS,FMCS,0,0,0,0
2009,FMSHRC,FMSHRC,0,0,0,0
2009,FOMC,FOMC,0,0,0,0
2009,FRB,FRB,0,22,21,1
2009,FTC,FTC,2,13,14,1
2009,GSA,GSA,0,16,16,0
2009,HHS,CMS,147,7,4,150
2009,HHS,OS,316,153,170,299
2009,HUD,Agency,0,39,39,0
2009,IAF,IAF,0,0,0,0
2009,IMLS,IMLS,0,0,0,0
2009,MSPB,MSPB,0,5,5,0
2009,NARA,NARA,29,43,66,6
2009,NASA,OGC,0,22,13,9
2009,NCUA,NCUA,0,12,10,2
2009,NEH,NEH,0,3,3,0
2009,NIGC,NIGC,0,3,3,0
2009,NMB,NMB,0,0,0,0
2009,NRPC,NRPC,0,1,0,1
2009,NSF,Foundation,0,3,3,0
2009,NSF,OIG,0,4,4,0
2009,OGE,OGE,0,0,0,0
2009,OMB,OMB,2,7,9,0
2009,ONDCP,OLC,0,0,0,0
2009,OPIC,OPIC,1,1,2,0
2009,OPM,OPM,3,30,31,2
2009,OSHRC,OSHRC,0,0,0,0
2009,OSTP,OSTP,0,3,3,0
2009,PC,FOIA Office,3,6,9,0
2009,PC,OIG,1,0,1,0
2009,PRC,PRC,0,0,0,0
2009,SBA,SBA,4,35,39,0
2009,SEC,HQ,45,247,267,25
2009,SIGIR,SIGIR,0,2,2,0
2009,SSA,SSA,1,113,105,9
2009,SSS,SSS,0,0,0,0
2009,State,DoS,508,242,248,502
2009,STB,STB,0,1,1,0
2009,Treasury,BEP,1,7,8,0
2009,Treasury,BPD,0,3,3,0
2009,Treasury,DO,13,36,20,29
2009,Treasury,FinCEN,0,4,4,0
2009,Treasury,FMS,1,7,8,0
2009,Treasury,IRS,42,241,223,60
2009,Treasury,MINT,0,3,3,0
2009,Treasury,OCC,8,28,12,24
2009,Treasury,OTS,0,8,8,0
2009,Treasury,TIGTA,4,20,23,1
2009,Treasury,TTB,7,7,9,5
2009,TVA,TVA,3,11,14,0
2009,U.S. CPSC,U.S. CPSC,0,19,19,0
2009,U.S. DOL,DOL,208,349,369,188
2009,US RRB,OIG,0,0,0,0
2009,US RRB,RRB,0,3,3,0
2009,USAID,USAID,5,14,9,10
2009,USITC,USITC,1,1,1,1
2009,USNRC,USNRC,0,25,20,5
2009,VA,GC,68,241,87,222
2010,ABMC,ABMC,0,0,0,0
2010,ACUS,ACUS,0,0,0,0
2010,BBG,BBG,0,2,2,0
2010,CEQ,CEQ,0,1,1,0
2010,CFTC,CFTC,0,7,7,0
2010,CIA,CIA,200,224,181,243
2010,CIGIE,CIGIE,0,0,0,0
2010,CNCS,CNCS,0,5,5,0
2010,CO,CO,0,0,0,0
2010,CPPBSD,CPPBSD,0,0,0,0
2010,CSB,CSB,0,0,0,0
2010,CSOSA,HQ,0,0,0,0
2010,DHS,CBP,388,450,815,23
2010,DHS,FLETC,0,1,1,0
2010,DHS,ICE,331,25,331,25
2010,DHS,OGC,520,157,134,543
2010,DHS,TSA,2,21,14,9
2010,DHS,USCG,69,42,62,49
2010,DHS,USCIS,2009,2004,3924,89
2010,DHS,USSS,6,40,44,2
2010,DNFSB,OGC,0,1,1,0
2010,DNFSB,OGM,0,0,0,0
2010,DOC,PTO,0,11,11,0
2010,DOC,AGC/Admin.,60,86,73,73
2010,DoD,AF,51,256,210,97
2010,DoD,ARMY,17,164,154,27
2010,DoD,ASBCA,0,0,0,0
2010,DoD,DCAA,0,4,4,0
2010,DoD,DCMA,0,5,2,3
2010,DoD,DeCA,0,0,0,0
2010,DoD,DFAS,1,2,3,0
2010,DoD,DIA,217,50,57,210
2010,DoD,DISA,2,2,0,4
2010,DoD,DLA,8,11,17,2
2010,DoD,DoDIG,17,29,26,20
2010,DoD,DSS,0,0,0,0
2010,DoD,DTRA,0,2,2,0
2010,DoD,NAVY,20,327,327,20
2010,DoD,NGA,11,6,11,6
2010,DoD,NRO,7,3,6,4
2010,DoD,NSA,23,77,56,44
2010,DoD,OSD/JS,273,169,148,294
2010,DOE,BPA,0,0,0,0
2010,DOE,CBFO,0,0,0,0
2010,DOE,CH,0,0,0,0
2010,DOE,EMCBC,0,0,0,0
2010,DOE,GFO,0,0,0,0
2010,DOE,HQ,4,91,88,7
2010,DOE,ID,0,0,0,0
2010,DOE,NETL,0,0,0,0
2010,DOE,NNSA,0,0,0,0
2010,DOE,NR,0,0,0,0
2010,DOE,NRLFO,0,0,0,0
2010,DOE,ORO,0,0,0,0
2010,DOE,OSTI,0,0,0,0
2010,DOE,ROO,0,0,0,0
2010,DOE,SEPA,0,0,0,0
2010,DOE,SPR,0,0,0,0
2010,DOE,SRO,0,0,0,0
2010,DOE,SWPA,0,0,0,0
2010,DOE,WAPA,0,0,0,0
2010,DOI,Appeals,443,151,304,290
2010,DOJ,OIP,661,3340,3404,597
2010,DOJ,USPC,3,11,9,5
2010,DOT,FAA,86,108,124,70
2010,DOT,FHWA,11,8,7,12
2010,DOT,FMCSA,0,10,6,4
2010,DOT,FRA,3,1,4,0
2010,DOT,FTA,0,1,1,0
2010,DOT,MARAD,6,2,6,2
2010,DOT,NHTSA,0,16,16,0
2010,DOT,OIG,3,3,6,0
2010,DOT,OST,2,6,7,1
2010,DOT,PHMSA,0,3,3,0
2010,DOT,RITA,0,1,0,1
2010,DOT,SLSDC,0,0,0,0
2010,ED,OM-RIMS,28,23,29,22
2010,EEOC,OLC/HDQ,30,313,302,41
2010,EPA,HQ,110,204,215,99
2010,Ex-Im Bank,HQ,0,2,2,0
2010,FCA,FCA,0,0,0,0
2010,FCC,FCC,8,21,16,13
2010,FCSIC,FCSIC,0,0,0,0
2010,FDIC,FDIC,4,17,20,1
2010,FEC,FEC,1,2,0,3
2010,FERC,FERC,2,7,9,0
2010,FFIEC,FFIEC,0,0,0,0
2010,FHFA,FHFA,0,5,4,1
2010,FLRA,FSIP,0,0,0,0
2010,FLRA,Authority,0,3,1,2
2010,FLRA,OGC,0,0,0,0
2010,FMC,FMC,1,1,1,1
2010,FMCS,FMCS,0,1,1,0
2010,FMSHRC,FMSHRC,0,0,0,0
2010,FOMC,FOMC,0,1,1,0
2010,FRB,FRB,1,10,9,2
2010,FTC,FTC,1,12,13,0
2010,GSA,GSA,0,23,21,2
2010,HHS,ACF,0,0,0,0
2010,HHS,AOA,0,0,0,0
2010,HHS,CMS,150,26,145,31
2010,HHS,OIG,0,0,0,0
2010,HHS,AHRQ,0,0,0,0
2010,HHS,CDC,0,0,0,0
2010,HHS,FDA,0,0,0,0
2010,HHS,HRSA,0,0,0,0
2010,HHS,IHS,0,0,0,0
2010,HHS,NIH,0,0,0,0
2010,HHS,SAMHSA,0,0,0,0
2010,HHS,OS,267,168,224,211
2010,HHS,OPHS/PSC,0,0,0,0
2010,HUD,HQ,0,14,4,10
2010,HUD,OIG,0,6,5,1
2010,HUD,R01,0,0,0,0
2010,HUD,R02,0,1,1,0
2010,HUD,R03,0,2,2,0
2010,HUD,R04,0,0,0,0
2010,HUD,R05,0,1,1,0
2010,HUD,R06,0,3,3,0
2010,HUD,R07,0,0,0,0
2010,HUD,R08,0,1,1,0
2010,HUD,R09,0,1,1,0
2010,HUD,R0X,0,0,0,0
2010,IAF,IAF,0,0,0,0
2010,IMLS,IMLS,0,0,0,0
2010,LSC,LSC,0,0,0,0
2010,MCC,MCC,0,0,0,0
2010,MSPB,OCB,0,7,7,0
2010,NARA,NARA,6,39,37,8
2010,NASA,ARC,0,0,0,0
2010,NASA,DFRC,0,0,0,0
2010,NASA,GRC,0,0,0,0
2010,NASA,GSFC,0,0,0,0
2010,NASA,HQ,0,0,0,0
2010,NASA,JPL,0,0,0,0
2010,NASA,JSC,0,0,0,0
2010,NASA,KSC,0,0,0,0
2010,NASA,LaRC,0,0,0,0
2010,NASA,MSFC,0,0,0,0
2010,NASA,NSSC,0,0,0,0
2010,NASA,OGC,1,33,32,2
2010,NASA,OIG,0,0,0,0
2010,NASA,SSC,0,0,0,0
2010,NCPC,NCPC,0,0,0,0
2010,NCUA,NCUA,2,12,12,2
2010,NEA,NEA,0,2,2,0
2010,NEH,NEH,0,2,2,0
2010,NIGC,NIGC,0,2,2,0
2010,NLRB,NLRB,2,27,27,2
2010,NMB,NMB,0,2,2,0
2010,NRPC,NRPC,1,5,4,2
2010,NSF,OGC,0,6,5,1
2010,NSF,OIG,0,0,0,0
2010,NTSB,HQ,3,5,7,1
2010,ODNI,ODNI,0,7,4,3
2010,OGE,OGE,0,4,4,0
2010,OMB,OMB,0,7,7,0
2010,ONDCP,OLC,0,0,0,0
2010,ONHIR,ONHIR,0,0,0,0
2010,OPIC,OPIC,0,4,4,0
2010,OPM,OPM,2,35,34,3
2010,OSC,OSC,12,14,19,7
2010,OSHRC,OSHRC,0,0,0,0
2010,OSTP,OSTP,0,1,1,0
2010,PBGC,PBGC,0,4,3,1
2010,PC,FOIA Office,0,8,8,0
2010,PC,OIG,0,0,0,0
2010,PRC,PRC,0,1,1,0
2010,SBA,SBA,0,20,19,1
2010,SEC,HQ,25,189,199,15
2010,SIGAR,SIGAR,0,0,0,0
2010,SIGIR,SIGIR,0,1,1,0
2010,SSA,SSA,9,155,148,16
2010,SSS,SSS,0,0,0,0
2010,State,DoS,501,174,320,355
2010,STB,STB,0,0,0,0
2010,Treasury,BEP,0,2,2,0
2010,Treasury,BPD,0,2,2,0
2010,Treasury,DO,29,23,20,32
2010,Treasury,FinCEN,0,3,3,0
2010,Treasury,FMS,0,4,4,0
2010,Treasury,IRS,60,263,288,35
2010,Treasury,MINT,0,3,3,0
2010,Treasury,OCC,13,45,46,12
2010,Treasury,OTS,0,9,8,1
2010,Treasury,TIGTA,1,17,18,0
2010,Treasury,TTB,5,1,6,0
2010,TVA,TVA,0,4,4,0
2010,U.S. CPSC,U.S. CPSC,0,24,24,0
2010,U.S. DOL,ADJ BDS,1,0,0,1
2010,U.S. DOL,ALJ,1,1,0,2
2010,U.S. DOL,ASP,0,0,0,0
2010,U.S. DOL,BLS,0,2,2,0
2010,U.S. DOL,CFO,1,2,3,0
2010,U.S. DOL,EBSA,3,13,16,0
2010,U.S. DOL,ETA,32,59,76,15
2010,U.S. DOL,ILAB,0,0,0,0
2010,U.S. DOL,MSHA,4,20,12,12
2010,U.S. DOL,OASAM,4,10,11,3
2010,U.S. DOL,OCIA,0,0,0,0
2010,U.S. DOL,ODEP,0,0,0,0
2010,U.S. DOL,OFCCP,3,4,4,3
2010,U.S. DOL,OIG,4,5,7,2
2010,U.S. DOL,OLMS,0,11,5,6
2010,U.S. DOL,OPA,0,0,0,0
2010,U.S. DOL,OSHA,90,148,177,61
2010,U.S. DOL,OWCP,23,41,44,20
2010,U.S. DOL,SOL,2,1,3,0
2010,U.S. DOL,VETS,5,7,7,5
2010,U.S. DOL,WB,0,0,0,0
2010,U.S. DOL,WHD,15,29,31,13
2010,US ADF,US ADF,0,0,0,0
2010,US RRB,OIG,0,0,0,0
2010,US RRB,RRB,0,3,3,0
2010,USAID,USAID,10,12,7,15
2010,USCCR,USCCR,0,0,0,0
2010,USDA,AMS,8,17,18,7
2010,USDA,APHIS,70,17,30,57
2010,USDA,ASCR,0,0,0,0
2010,USDA,DM,0,2,1,1
2010,USDA,FAS,0,0,0,0
2010,USDA,FNCS,4,16,13,7
2010,USDA,FS,36,63,68,31
2010,USDA,FSA,7,32,35,4
2010,USDA,FSIS,5,0,0,5
2010,USDA,GIPSA,0,1,1,0
2010,USDA,NAD,1,0,0,1
2010,USDA,NRCS,1,13,12,2
2010,USDA,OBPA,0,0,0,0
2010,USDA,OCFO,0,0,0,0
2010,USDA,OGC,3,6,6,3
2010,USDA,OIG,2,15,11,6
2010,USDA,OSEC,0,3,1,2
2010,USDA,RD,17,9,11,15
2010,USDA,REE,2,2,4,0
2010,USDA,RMA,3,1,2,2
2010,USIBWC,USIBWC,0,1,1,0
2010,USITC,USITC,0,1,1,0
2010,USNRC,USNRC,5,24,28,1
2010,USPS,PS and PIS,0,133,130,3
2010,USPS,OIG,1,21,21,1
2010,USTDA,USTDA,0,0,0,0
2010,USTR,USTR,0,2,2,0
2010,VA,Admin,0,0,0,0
2010,VA,BVA,0,0,0,0
2010,VA,C&LA,0,0,0,0
2010,VA,CFM,0,0,0,0
2010,VA,GC,156,231,185,202
2010,VA,HRM,0,0,0,0
2010,VA,IG,0,0,0,0
2010,VA,Mgmt,0,0,0,0
2010,VA,NCA,0,0,0,0
2010,VA,OAL,0,0,0,0
2010,VA,OASHRA,0,0,0,0
2010,VA,OASP&IA,0,0,0,0
2010,VA,ODASB,0,0,0,0
2010,VA,ODASIA,0,0,0,0
2010,VA,ODI,0,0,0,0
2010,VA,OF,0,0,0,0
2010,VA,OI&T,0,0,0,0
2010,VA,ORM,0,0,0,0
2010,VA,OSDBU,0,0,0,0
2010,VA,OSP,0,0,0,0
2010,VA,P&P,0,0,0,0
2010,VA,PA,0,0,0,0
2010,VA,SEC,0,0,0,0
2010,VA,VBA,0,0,0,0
2010,VA,VHA,0,0,0,0
2011,ABMC,ABMC,0,0,0,0
2011,ACUS,ACUS,0,0,0,0
2011,AFRH,AFRH,0,1,1,0
2011,BBG,BBG,0,6,6,0
2011,CEQ,CEQ,0,0,0,0
2011,CFTC,CFTC,1,4,3,2
2011,CIA,CIA,243,212,255,200
2011,CIGIE,CIGIE,0,0,0,0
2011,CNCS,CNCS,0,1,1,0
2011,CO,CO,0,2,2,0
2011,CPPBSD,CPPBSD,0,0,0,0
2011,CSB,CSB,0,3,3,0
2011,CSOSA,CSOSA,0,0,0,0
2011,DHS,CBP,23,338,343,18
2011,DHS,FLETC,0,1,1,0
2011,DHS,ICE,25,245,230,40
2011,DHS,OGC,201,114,164,151
2011,DHS,OIG,16,12,14,14
2011,DHS,TSA,9,41,46,4
2011,DHS,USCG,46,44,41,49
2011,DHS,USCIS,89,1079,1049,119
2011,DHS,USSS,2,43,45,0
2011,DNFSB,OGC,0,0,0,0
2011,DNFSB,OGM,0,0,0,0
2011,DOC,PTO,0,7,6,1
2011,DOC,AGC/Admin.,73,76,102,47
2011,DoD,AF,74,258,169,163
2011,DoD,ARMY,27,141,139,29
2011,DoD,ASBCA,0,0,0,0
2011,DoD,DCAA,0,2,2,0
2011,DoD,DCMA,3,3,6,0
2011,DoD,DeCA,0,0,0,0
2011,DoD,DFAS,0,1,1,0
2011,DoD,DIA,209,76,82,203
2011,DoD,DISA,4,0,1,3
2011,DoD,DLA,2,8,9,1
2011,DoD,DoD IG,20,22,15,27
2011,DoD,DSS,0,0,0,0
2011,DoD,DTRA,0,1,0,1
2011,DoD,NAVY,20,306,314,12
2011,DoD,NGA,1,9,10,0
2011,DoD,NRO,6,4,8,2
2011,DoD,NSA,44,52,28,68
2011,DoD,OSD/JS,303,183,123,363
2011,DOE,BPA,0,0,0,0
2011,DOE,CBFO,0,0,0,0
2011,DOE,CH,0,0,0,0
2011,DOE,EMCBC,0,0,0,0
2011,DOE,GFO,0,0,0,0
2011,DOE,HQ,7,74,70,11
2011,DOE,ID,0,0,0,0
2011,DOE,NETL,0,0,0,0
2011,DOE,NNSA,0,0,0,0
2011,DOE,NR,0,0,0,0
2011,DOE,NRLFO,0,0,0,0
2011,DOE,ORO,0,0,0,0
2011,DOE,OSTI,0,0,0,0
2011,DOE,ROO,0,0,0,0
2011,DOE,SEPA,0,0,0,0
2011,DOE,SPR,0,0,0,0
2011,DOE,SRO,0,0,0,0
2011,DOE,SWPA,0,0,0,0
2011,DOE,WAPA,0,0,0,0
2011,DOI,Appeals,290,174,230,234
2011,DOJ,OIP,597,3250,3354,493
2011,DOJ,USPC,4,8,8,4
2011,DOT,FAA,69,106,128,47
2011,DOT,FHWA,12,8,6,14
2011,DOT,FMCSA,4,7,6,5
2011,DOT,FRA,0,2,2,0
2011,DOT,FTA,0,7,2,5
2011,DOT,MARAD,3,1,4,0
2011,DOT,NHTSA,0,11,10,1
2011,DOT,OIG,0,4,4,0
2011,DOT,OST,1,5,4,2
2011,DOT,PHMSA,0,2,2,0
2011,DOT,RITA,1,0,1,0
2011,DOT,SLSDC,0,0,0,0
2011,ED,OM-PIRMS,22,32,15,39
2011,EEOC,OLC/HDQ,33,598,602,29
2011,EPA,HQ,99,215,208,106
2011,EPA,Region 1,0,0,0,0
2011,EPA,Region 2,0,0,0,0
2011,EPA,Region 3,0,0,0,0
2011,EPA,Region 4,0,0,0,0
2011,EPA,Region 5,0,0,0,0
2011,EPA,Region 6,0,0,0,0
2011,EPA,Region 7,0,0,0,0
2011,EPA,Region 8,0,0,0,0
2011,EPA,Region 9,0,0,0,0
2011,EPA,Region 10,0,0,0,0
2011,Ex-Im Bank,HQ,0,1,0,1
2011,FCA,FCA,0,0,0,0
2011,FCC,FCC,13,17,17,13
2011,FCSIC,FCSIC,0,0,0,0
2011,FDIC,FDIC,1,39,38,2
2011,FEC,FEC,3,1,3,1
2011,FERC,FERC,0,15,14,1
2011,FFIEC,FFIEC,0,0,0,0
2011,FHFA,FHFA FOIA,1,11,12,0
2011,FLRA,FSIP,0,0,0,0
2011,FLRA,Authority,2,3,5,0
2011,FLRA,OGC,0,3,3,0
2011,FMC,FMC,1,0,1,0
2011,FMCS,FMCS,0,0,0,0
2011,FMSHRC,FMSHRC,0,0,0,0
2011,FOMC,FOMC,0,1,1,0
2011,FRB,FRB,2,16,17,1
2011,FRTIB,FRTIB,0,0,0,0
2011,FTC,FTC,0,28,25,3
2011,GSA,GSA,2,22,21,3
2011,HHS,CMS,31,125,120,36
2011,HHS,OS,211,191,199,203
2011,HUD,HQ,10,9,17,2
2011,HUD,OIG,1,10,11,0
2011,HUD,R01,0,0,0,0
2011,HUD,R02,1,1,2,0
2011,HUD,R03,0,1,1,0
2011,HUD,R04,0,0,0,0
2011,HUD,R05,0,3,3,0
2011,HUD,R06,0,2,2,0
2011,HUD,R07,0,0,0,0
2011,HUD,R08,1,0,1,0
2011,HUD,R09,0,0,0,0
2011,HUD,R0X,0,0,0,0
2011,IAF,IAF,0,0,0,0
2011,IMLS,IMLS,0,0,0,0
2011,LSC,LSC,0,2,2,0
2011,MCC,MCC,0,1,1,0
2011,MSPB,MSPB,0,8,8,0
2011,NARA,NARA,6,66,64,8
2011,NASA,ARC,0,0,0,0
2011,NASA,DFRC,0,0,0,0
2011,NASA,GRC,0,0,0,0
2011,NASA,GSFC,0,0,0,0
2011,NASA,HQ,0,0,0,0
2011,NASA,JPL,0,0,0,0
2011,NASA,JSC,0,0,0,0
2011,NASA,KSC,0,0,0,0
2011,NASA,LaRC,0,0,0,0
2011,NASA,MSFC,0,0,0,0
2011,NASA,NSSC,0,0,0,0
2011,NASA,OGC,2,19,21,0
2011,NASA,OIG,0,2,2,0
2011,NASA,SSC,0,0,0,0
2011,NCPC,NCPC,0,1,1,0
2011,NCUA,NCUA,2,9,10,1
