Agency,Average Number of Days,Component,Highest Number of Days,Lowest Number of Days,Median Number of Days,Year
DNFSB,0.0,OGM,0.0,0.0,0.0,2011
DOC,20.0,PTO,21.0,18.0,20.0,2011
DOC,355.0,AGC/Admin.,2091.0,1.0,160.0,2011
DoD,28.0,AF,796.0,1.0,9.0,2011
DoD,90.0,ARMY,45.0,,45.0,2011
DoD,0.0,ASBCA,0.0,0.0,0.0,2011
DoD,15.0,DCAA,20.0,9.0,20.0,2011
DoD,157.0,DCMA,342.0,0.0,161.0,2011
DoD,0.0,DeCA,0.0,0.0,0.0,2011
DoD,12.0,DFAS,12.0,12.0,12.0,2011
DoD,699.0,DIA,3338.0,1.0,371.0,2011
DoD,376.0,DISA,376.0,376.0,376.0,2011
DoD,28.0,DLA,65.0,6.0,23.0,2011
DoD,170.0,DoD IG,735.0,11.0,61.0,2011
DoD,0.0,DSS,0.0,0.0,0.0,2011
DoD,0.0,DTRA,0.0,0.0,0.0,2011
DoD,18.0,NAVY,162.0,0.0,9.0,2011
DoD,112.0,NGA,568.0,27.0,56.0,2011
DoD,472.0,NRO,2085.0,25.0,231.0,2011
DoD,254.0,NSA,462.0,11.0,271.0,2011
DoD,342.0,OSD/JS,2792.0,2.0,83.0,2011
DOE,29.0,HQ,745.0,1.0,18.0,2011
DOI,727.0,Appeals,1684.0,5.0,257.0,2011
DOJ,81.42,OIP,404.0,,70.0,2011
DOJ,205.38,USPC,470.0,16.0,175.0,2011
DOT,198.0,FAA,1131.0,,107.0,2011
DOT,531.0,FHWA,980.0,232.0,478.0,2011
DOT,165.0,FMCSA,318.0,71.0,146.0,2011
DOT,31.5,FRA,33.0,30.0,31.5,2011
DOT,143.5,FTA,267.0,20.0,143.5,2011
DOT,187.0,MARAD,446.0,47.0,129.0,2011
DOT,27.0,NHTSA,59.0,,23.0,2011
DOT,24.0,OIG,30.0,1.0,25.0,2011
DOT,89.0,OST,123.0,37.0,98.0,2011
DOT,67.0,PHMSA,103.0,31.0,67.0,2011
DOT,131.0,RITA,131.0,131.0,131.0,2011
ED,255.0,OM-PIRMS,419.0,22.0,295.0,2011
EEOC,18.4,OLC/HDQ,37.0,1.0,16.0,2011
EPA,115.24,HQ,2011.0,,31.5,2011
EPA,0.0,Region 1,0.0,0.0,0.0,2011
EPA,0.0,Region 2,0.0,0.0,0.0,2011
EPA,0.0,Region 3,0.0,0.0,0.0,2011
EPA,0.0,Region 4,0.0,0.0,0.0,2011
EPA,0.0,Region 5,0.0,0.0,0.0,2011
EPA,0.0,Region 6,0.0,0.0,0.0,2011
EPA,0.0,Region 7,0.0,0.0,0.0,2011
EPA,0.0,Region 8,0.0,0.0,0.0,2011
EPA,0.0,Region 9,0.0,0.0,0.0,2011
EPA,0.0,Region 10,0.0,0.0,0.0,2011
Ex-Im Bank,0.0,Ex-Im Bank,0.0,0.0,0.0,2011
FCA,0.0,FCA,0.0,0.0,0.0,2011
FCC,307.0,FCC,509.0,17.0,328.0,2011
FCSIC,0.0,FCSIC,0.0,0.0,0.0,2011
FDIC,20.43,FDIC,58.0,12.0,20.0,2011
FEC,246.0,FEC,581.0,78.0,79.0,2011
FERC,32.0,FERC,52.0,2.0,30.0,2011
FFIEC,0.0,FFIEC,0.0,0.0,0.0,2011
FHFA,19.17,FHFA FOIA,22.0,16.0,19.5,2011
FLRA,0.0,FSIP,0.0,0.0,0.0,2011
FLRA,29.0,Authority,53.0,3.0,19.0,2011
FLRA,10.0,OGC,12.0,8.0,10.0,2011
FMC,31.0,FMC,31.0,31.0,31.0,2011
FMCS,0.0,FMCS,0.0,0.0,0.0,2011
FMSHRC,0.0,FMSHRC,0.0,0.0,0.0,2011
FOMC,21.0,FOMC,21.0,21.0,21.0,2011
FRB,16.0,FRB,24.0,11.0,16.0,2011
FRTIB,0.0,FRTIB,0.0,0.0,0.0,2011
FTC,19.24,FTC,41.0,10.0,21.9,2011
GSA,30.0,GSA,49.0,1.0,24.0,2011
HHS,188.74,CMS,1892.0,2.0,145.0,2011
HHS,263.0,OS,1533.0,1.0,76.0,2011
HUD,83.0,HQ,256.0,1.0,60.0,2011
HUD,0.0,OIG,0.0,0.0,0.0,2011
HUD,0.0,R01,0.0,0.0,0.0,2011
HUD,89.0,R02,89.0,89.0,89.0,2011
HUD,3.0,R03,3.0,3.0,3.0,2011
HUD,0.0,R04,0.0,0.0,0.0,2011
HUD,12.0,R05,20.0,6.0,12.0,2011
HUD,15.0,R06,22.0,9.0,15.0,2011
HUD,0.0,R07,0.0,0.0,0.0,2011
HUD,129.0,R08,129.0,129.0,129.0,2011
HUD,0.0,R09,0.0,0.0,0.0,2011
HUD,0.0,R0X,0.0,0.0,0.0,2011
IAF,0.0,IAF,0.0,0.0,0.0,2011
IMLS,0.0,IMLS,0.0,0.0,0.0,2011
LSC,16.0,LSC,20.0,12.0,16.0,2011
MCC,18.0,MCC,18.0,18.0,18.0,2011
MSPB,18.0,MSPB,27.0,15.0,21.0,2011
NARA,28.0,NARA,332.0,3.0,18.0,2011
NASA,80.76,OGC,303.0,9.0,57.0,2011
NASA,8.5,OIG,9.0,8.0,8.5,2011
NCPC,24.0,NCPC,24.0,24.0,24.0,2011
NCUA,19.7,NCUA,40.0,13.0,18.5,2011
NEA,17.0,NEA,36.0,2.0,15.0,2011
NEH,47.0,NEH,47.0,47.0,47.0,2011
NIGC,28.0,NIGC,28.0,28.0,28.0,2011
NLRB,13.0,NLRB,38.0,3.0,13.0,2011
NMB,0.0,NMB,0.0,0.0,0.0,2011
NRPC,100.0,NRPC,488.0,7.0,36.0,2011
NSF,22.0,OGC,30.0,11.0,20.0,2011
NSF,21.0,OIG,48.0,6.0,16.0,2011
NTSB,46.4,NTSB,288.0,,15.5,2011
ODNI,21.0,ODNI,35.0,7.0,7.0,2011
OGE,28.67,OGE,51.0,10.0,25.0,2011
OMB,90.0,OMB,223.0,34.0,74.0,2011
ONDCP,6.0,ONDCP,6.0,6.0,6.0,2011
ONHIR,0.0,ONHIR,0.0,0.0,0.0,2011
OPIC,10.5,OPIC,18.0,3.0,10.5,2011
OPM,148.0,OPM,470.0,16.0,99.0,2011
OSC,31.0,OSC,94.0,1.0,19.0,2011
OSHRC,0.0,OSHRC,0.0,0.0,0.0,2011
OSTP,7.5,OSTP,20.0,1.0,6.0,2011
PBGC,64.0,PBGC,200.0,10.0,22.0,2011
PC,32.0,FOIA Office,158.0,8.0,19.0,2011
PC,13.0,OIG,13.0,13.0,13.0,2011
PRC,0.0,PRC,0.0,0.0,0.0,2011
RATB,0.0,RATB,0.0,0.0,0.0,2011
SBA,16.1,SBA,51.0,1.0,13.0,2011
SEC,22.0,SEC,170.0,,7.0,2011
SIGAR,3.0,SIGAR,3.0,3.0,3.0,2011
SIGIR,0.0,SIGIR,0.0,0.0,0.0,2011
SSA,57.0,SSA,187.0,3.0,49.0,2011
SSS,0.0,SSS,0.0,0.0,0.0,2011
State,482.0,DoS,1633.0,,309.0,2011
State,0.0,OIG,0.0,,0.0,2011
STB,0.0,STB,0.0,0.0,0.0,2011
Treasury,10.0,BEP,10.0,10.0,10.0,2011
Treasury,17.2,BPD,20.0,14.0,18.0,2011
Treasury,0.0,CFPB,0.0,0.0,0.0,2011
Treasury,39.0,DO,229.0,2.0,100.0,2011
Treasury,13.0,FinCEN,22.0,5.0,14.0,2011
Treasury,9.0,FMS,9.0,9.0,9.0,2011
Treasury,28.0,IRS,314.0,3.0,21.0,2011
Treasury,14.0,MINT,19.0,9.0,14.0,2011
Treasury,9.0,OCC,17.0,3.0,8.0,2011
Treasury,85.0,OTS,340.0,17.0,19.0,2011
Treasury,10.0,TIGTA,20.0,3.0,10.0,2011
Treasury,44.0,TTB,80.0,12.0,51.0,2011
TVA,20.0,TVA,20.0,20.0,20.0,2011
U.S. CPSC,19.0,U.S. CPSC,20.0,19.0,19.0,2011
U.S. DOL,706.0,ADJ BDS,706.0,706.0,706.0,2011
U.S. DOL,41.0,ALJ,41.0,41.0,41.0,2011
U.S. DOL,0.0,ASP,0.0,0.0,0.0,2011
U.S. DOL,0.0,BLS,0.0,0.0,0.0,2011
U.S. DOL,0.0,CFO,0.0,0.0,0.0,2011
U.S. DOL,84.1,EBSA,193.0,10.0,60.5,2011
U.S. DOL,106.68,ETA,641.0,3.0,35.0,2011
U.S. DOL,0.0,EXEC SEC,0.0,0.0,0.0,2011
U.S. DOL,0.0,ILAB,0.0,0.0,0.0,2011
U.S. DOL,198.46,MSHA,839.0,19.0,82.5,2011
U.S. DOL,143.91,OASAM,470.0,9.0,100.0,2011
U.S. DOL,0.0,OCIA,0.0,0.0,0.0,2011
U.S. DOL,0.0,ODEP,0.0,0.0,0.0,2011
U.S. DOL,223.29,OFCCP,993.0,3.0,77.0,2011
U.S. DOL,0.0,OIG,0.0,0.0,0.0,2011
U.S. DOL,86.85,OLMS,198.0,4.0,91.0,2011
U.S. DOL,0.0,OPA,0.0,0.0,0.0,2011
U.S. DOL,0.0,OSEC,0.0,0.0,0.0,2011
U.S. DOL,189.38,OSHA,2058.0,0.0,67.0,2011
U.S. DOL,162.98,OWCP,1305.0,0.0,33.0,2011
U.S. DOL,37.0,SOL,30.0,24.0,27.0,2011
U.S. DOL,251.56,VETS,908.0,18.0,91.0,2011
U.S. DOL,0.0,WB,0.0,0.0,0.0,2011
U.S. DOL,157.85,WHD,861.0,4.0,37.0,2011
US ADF,0.0,US ADF,0.0,0.0,0.0,2011
US RRB,6.2,OIG,18.0,1.0,5.0,2011
US RRB,13.0,RRB,20.0,7.0,12.0,2011
USAID,504.33,USAID,724.0,75.0,714.0,2011
USCCR,0.0,USCCR,0.0,0.0,0.0,2011
USDA,194.0,AMS,398.0,46.0,179.0,2011
USDA,1078.27,APHIS,1796.0,17.0,982.0,2011
USDA,17.33,ASCR,22.0,15.0,15.0,2011
USDA,0.0,DM,0.0,1.0,0.0,2011
USDA,0.0,FAS,0.0,0.0,0.0,2011
USDA,159.27,FNCS,784.0,17.0,100.5,2011
USDA,94.775,FS,1646.0,1.0,53.25,2011
USDA,41.0,FSA,172.0,1.0,26.0,2011
USDA,0.0,FSIS,0.0,0.0,0.0,2011
USDA,43.0,GIPSA,0.0,43.0,43.0,2011
USDA,0.0,NAD,0.0,0.0,0.0,2011
USDA,20.0,NRCS,45.0,1.0,20.0,2011
USDA,0.0,OBPA,0.0,0.0,0.0,2011
USDA,0.0,OCFO,0.0,0.0,0.0,2011
USDA,342.0,OGC,747.0,23.0,251.0,2011
USDA,100.0,OIG,306.0,21.0,50.0,2011
USDA,1.0,OSEC/OCIO,1.0,1.0,1.0,2011
USDA,323.0,RD,1373.0,5.0,151.0,2011
USDA,97.0,REE,177.0,16.0,97.0,2011
USDA,21.0,RMA,21.0,21.0,21.0,2011
USIBWC,20.5,USIBWC,31.0,10.0,20.5,2011
USITC,22.0,USITC,22.0,22.0,22.0,2011
USNRC,25.0,USNRC,68.0,3.0,22.0,2011
USPS,16.83,OIG,21.0,7.0,18.0,2011
USPS,21.06,PS & PIS,105.0,2.0,18.0,2011
USTDA,20.5,USTDA,22.0,19.0,20.5,2011
USTR,32.0,USTR,47.0,17.0,32.0,2011
VA,165.57,GC,849.0,4.0,131.0,2011
ABMC,0.0,ABMC,0.0,0.0,0.0,2012
ACUS,0.0,ACUS,0.0,0.0,0.0,2012
AFRH,0.0,AFRH,0.0,0.0,0.0,2012
BBG,7.0,BBG,20.0,1.0,3.0,2012
CEQ,40.0,CEQ,40.0,40.0,40.0,2012
CFTC,197.33,CFTC,545.0,22.0,25.0,2012
CIA,196.0,CIA,1950.0,0.0,124.0,2012
CIGIE,120.0,CIGIE,120.0,120.0,120.0,2012
CNCS,29.0,CNCS,29.0,29.0,0.0,2012
CO,0.0,CO,0.0,0.0,0.0,2012
CPPBSD,0.0,CPPBSD,0.0,0.0,0.0,2012
CSB,20.0,CSB,20.0,20.0,20.0,2012
CSOSA,21.0,CSOSA,25.0,17.0,21.0,2012
DHS,17.87,CBP,208.0,1.0,12.5,2012
DHS,18.0,FLETC,18.0,18.0,18.0,2012
DHS,28.85,ICE,86.0,1.0,25.0,2012
DHS,278.81,OGC,1299.0,2.0,230.0,2012
DHS,194.16,OIG,903.0,7.0,104.0,2012
DHS,73.21,TSA,168.0,15.0,72.5,2012
DHS,273.0,USCG,639.0,22.0,243.0,2012
DHS,24.59,USCIS,123.0,1.0,23.0,2012
DHS,26.83,USSS,76.0,11.0,26.0,2012
DNFSB,0.0,OGC,0.0,0.0,0.0,2012
DNFSB,0.0,OGM,0.0,0.0,0.0,2012
DOC,18.0,PTO,21.0,11.0,20.0,2012
DOC,182.0,AGC/Admin,876.0,3.0,111.0,2012
DoD,188.0,AF,579.0,45.0,154.0,2012
DoD,90.0,ARMY,433.0,1.0,0.0,2012
DoD,0.0,ASBCA,0.0,0.0,0.0,2012
DoD,15.0,DCAA,20.0,7.0,13.0,2012
DoD,27.0,DCMA,79.0,1.0,40.0,2012
DoD,0.0,DeCA,0.0,0.0,0.0,2012
DoD,15.0,DFAS,31.0,1.0,3.0,2012
DoD,793.0,DIA,3836.0,1.0,251.0,2012
DoD,500.0,DISA,727.0,100.0,500.0,2012
DoD,34.0,DLA,121.0,1.0,33.0,2012
DoD,332.0,DoD IG,975.0,38.0,226.0,2012
DoD,0.0,DSS,0.0,0.0,0.0,2012
DoD,39.0,DTRA,39.0,39.0,39.0,2012
DoD,13.0,NAVY,213.0,0.0,8.0,2012
DoD,0.0,NGA,0.0,0.0,0.0,2012
DoD,328.0,NRO,2201.0,1.0,22.0,2012
DoD,311.0,NSA,613.0,18.0,327.0,2012
DoD,7.0,OSD/JS,3572.0,1.0,4.0,2012
DOE,39.47,HQ,487.0,1.0,17.0,2012
DOI,911.0,FOIA/PA Appeals,1810.0,1.0,430.0,2012
DOJ,78.09,OIP,340.0,1.0,71.0,2012
DOJ,99.0,USPC,225.0,,134.0,2012
DOT,114.0,FAA,914.0,,23.0,2012
DOT,425.0,FHWA,674.0,185.0,425.0,2012
DOT,131.0,FMCSA,212.0,32.0,156.0,2012
DOT,36.0,FRA,51.0,20.0,35.5,2012
DOT,85.0,FTA,176.0,19.0,74.0,2012
DOT,0.0,MARAD,0.0,0.0,0.0,2012
DOT,42.0,NHTSA,72.0,22.0,36.0,2012
DOT,0.0,OIG,0.0,0.0,0.0,2012
DOT,23.0,OST,65.0,5.0,17.0,2012
DOT,0.0,PHMSA,0.0,0.0,0.0,2012
DOT,106.0,RITA,106.0,106.0,106.0,2012
DOT,0.0,SLSDC,0.0,0.0,0.0,2012
ED,268.38,OM-PIRMS,729.0,12.0,230.0,2012
EEOC,15.8,OLC/HDQ,19.0,11.0,18.0,2012
EPA,230.78,HQ,2445.0,1.0,29.0,2012
Ex-Im Bank,0.0,HQ,0.0,0.0,0.0,2012
FCA,0.0,FCA,0.0,0.0,0.0,2012
FCC,231.0,FCC,593.0,95.0,154.0,2012
FCSIC,0.0,FCSIC,0.0,0.0,0.0,2012
FDIC,19.82,FDIC,50.0,,20.0,2012
FEC,112.5,FEC,290.0,19.0,70.5,2012
FERC,38.0,FERC,97.0,18.0,27.0,2012
FFIEC,18.0,FFIEC,18.0,18.0,18.0,2012
FHFA,17.96,FHFA FOIA,28.0,4.0,19.25,2012
FHFA,10.0,FHFA-OIG,10.0,10.0,10.0,2012
FLRA,0.0,FSIP,0.0,0.0,0.0,2012
FLRA,0.0,Authority,0.0,0.0,0.0,2012
FLRA,19.0,OGC,30.0,7.0,19.0,2012
FMC,0.0,FMC,0.0,0.0,0.0,2012
FMCS,10.0,FMCS,10.0,10.0,10.0,2012
FMSHRC,0.0,FMSHRC,0.0,0.0,0.0,2012
FOMC,19.0,FOMC,19.0,19.0,19.0,2012
FRB,44.0,FRB,111.0,8.0,30.0,2012
FRTIB,0.0,FRTIB,0.0,0.0,0.0,2012
FTC,18.81,FTC,43.0,10.0,18.0,2012
GSA,46.93,GSA,168.0,3.0,42.0,2012
HHS,117.0,CMS,361.0,2.0,76.0,2012
HHS,225.0,OS,2121.0,1.0,82.0,2012
HUD,15.11,HQ,103.0,1.0,5.5,2012
HUD,10.4,OIG,18.0,1.0,10.0,2012
HUD,0.0,R01,0.0,0.0,0.0,2012
HUD,18.0,R02,18.0,18.0,18.0,2012
HUD,0.0,R03,0.0,0.0,0.0,2012
HUD,20.0,R04,24.0,14.0,14.0,2012
HUD,29.0,R05,29.0,29.0,29.0,2012
HUD,28.74,R06,31.0,28.0,28.0,2012
HUD,0.0,R07,0.0,0.0,0.0,2012
HUD,5.0,R08,5.0,5.0,5.0,2012
HUD,22.0,R09,22.0,22.0,22.0,2012
HUD,0.0,R0X,0.0,0.0,0.0,2012
IAF,0.0,IAF,0.0,0.0,0.0,2012
IMLS,0.0,IMLS,0.0,0.0,0.0,2012
LSC,16.0,OLA,20.0,12.0,16.0,2012
LSC,0.0,OIG,0.0,0.0,0.0,2012
MCC,20.0,MCC,20.0,20.0,20.0,2012
MSPB,17.0,MSPB,25.0,14.0,20.0,2012
NARA,37.0,NARA,1040.0,3.0,18.5,2012
NASA,29.57,OGC,96.0,13.0,22.75,2012
NASA,18.0,OIG,29.0,10.0,15.0,2012
NCPC,7.0,NCPC,9.0,5.0,7.0,2012
NCUA,15.0,NCUA,20.0,6.0,16.0,2012
NEA,,NEA,,,,2012
NEH,19.5,NEH,22.0,17.0,19.5,2012
NIGC,0.0,NIGC,0.0,0.0,0.0,2012
NLRB,16.0,NLRB,30.0,3.0,16.0,2012
NMB,0.0,NMB,0.0,0.0,0.0,2012
NRPC,180.0,NRPC,486.0,13.0,42.0,2012
NSF,20.0,OGC,30.0,13.0,20.0,2012
NSF,76.0,OIG,260.0,7.0,15.0,2012
NTSB,32.29,NTSB,67.0,,33.0,2012
ODNI,206.25,ODNI,578.0,0.0,164.0,2012
OGE,16.25,OGE,19.0,14.0,16.0,2012
OMB,123.0,OMB,243.0,10.0,97.0,2012
ONDCP,0.0,ONDCP,0.0,0.0,0.0,2012
ONHIR,0.0,ONHIR,0.0,0.0,0.0,2012
OPIC,8.25,OPIC,18.0,0.0,7.5,2012
OPM,69.0,OPM,170.0,1.0,51.0,2012
OSC,95.0,OSC,267.0,7.0,57.0,2012
OSHRC,0.0,OSHRC,0.0,0.0,0.0,2012
OSTP,14.5,OSTP,38.0,2.0,10.0,2012
PBGC,46.0,PBGC,217.0,12.0,20.0,2012
PC,40.0,FOIA Office,124.0,8.0,25.0,2012
PRC,0.0,PRC,0.0,0.0,0.0,2012
RATB,20.0,RATB,20.0,20.0,20.0,2012
SBA,19.0,SBA,51.0,,12.0,2012
SEC,49.0,SEC,441.0,,13.0,2012
SIGAR,0.0,SIGAR,0.0,0.0,0.0,2012
SIGIR,11.0,SIGIR,11.0,11.0,11.0,2012
SSA,26.0,SSA,310.0,2.0,20.0,2012
SSS,0.0,SSS,0.0,0.0,0.0,2012
State,472.0,DoS,1942.0,,303.0,2012
State,0.0,OIG,0.0,0.0,0.0,2012
STB,0.0,STB,0.0,0.0,0.0,2012
Treasury,0.0,BEP,0.0,0.0,0.0,2012
Treasury,0.0,BPD,0.0,0.0,0.0,2012
Treasury,18.25,CFPB,24.0,10.0,19.5,2012
Treasury,70.0,DO,255.0,3.0,25.0,2012
Treasury,14.0,FinCEN,34.0,3.0,12.0,2012
Treasury,18.0,FMS,20.0,13.0,19.0,2012
Treasury,18.0,IRS,62.0,3.0,17.0,2012
Treasury,14.0,MINT,19.0,6.0,17.0,2012
Treasury,86.0,OCC,537.0,0.0,44.0,2012
Treasury,16.0,TIGTA,21.0,2.0,16.0,2012
Treasury,13.0,TTB,13.0,13.0,13.0,2012
TVA,18.0,TVA,20.0,14.0,19.0,2012
U.S. CPSC,19.0,U.S. CPSC,20.0,19.0,19.0,2012
U.S. DOL,0.0,ADJ BDS,0.0,0.0,0.0,2012
U.S. DOL,1404.0,ALJ,1953.0,855.0,1404.0,2012
U.S. DOL,0.0,ASP,0.0,0.0,0.0,2012
U.S. DOL,0.0,BLS,0.0,0.0,0.0,2012
U.S. DOL,0.0,CFO,0.0,0.0,0.0,2012
U.S. DOL,205.33,EBSA,375.0,26.0,213.0,2012
U.S. DOL,66.48,ETA,527.0,1.0,36.0,2012
U.S. DOL,0.0,EXEC SEC,0.0,0.0,0.0,2012
U.S. DOL,0.0,ILAB,0.0,0.0,0.0,2012
U.S. DOL,185.6,MSHA,798.0,0.0,52.0,2012
U.S. DOL,69.0,OASAM,119.0,8.0,34.0,2012
U.S. DOL,0.0,OCIA,0.0,0.0,0.0,2012
U.S. DOL,0.0,ODEP,0.0,0.0,0.0,2012
U.S. DOL,179.3,OFCCP,910.0,13.0,70.5,2012
U.S. DOL,57.0,OIG,57.0,57.0,57.0,2012
U.S. DOL,131.0,OLMS,312.0,4.0,104.0,2012
U.S. DOL,0.0,OPA,0.0,0.0,0.0,2012
U.S. DOL,0.0,OSEC,0.0,0.0,0.0,2012
U.S. DOL,118.91,OSHA,1013.0,1.0,52.0,2012
U.S. DOL,103.4,OWCP,1288.0,0.0,28.0,2012
U.S. DOL,72.5,SOL,82.0,63.0,72.5,2012
U.S. DOL,112.0,VETS,112.0,112.0,112.0,2012
U.S. DOL,0.0,WB,0.0,0.0,0.0,2012
U.S. DOL,143.75,WHD,877.0,0.0,37.0,2012
US ADF,0.0,US ADF,0.0,0.0,0.0,2012
US RRB,0.0,OIG,0.0,0.0,0.0,2012
US RRB,32.5,RRB,45.0,20.0,20.0,2012
USAID,216.6,USAID,885.0,,58.0,2012
USCCR,0.0,USCCR,0.0,0.0,0.0,2012
USDA,230.0,AMS,922.0,25.0,218.0,2012
USDA,383.025,APHIS,2249.0,4.0,315.5,2012
USDA,32.0,ASCR,32.0,32.0,32.0,2012
USDA,1.0,DM,1.0,1.0,1.0,2012
USDA,0.0,FAS,0.0,0.0,0.0,2012
USDA,105.69,FNCS,376.0,26.0,63.0,2012
USDA,109.86,FS,1827.0,1.0,40.0,2012
USDA,152.81,FSA,2612.0,1.0,23.0,2012
USDA,705.29,FSIS,1062.0,19.0,809.0,2012
USDA,13.5,GIPSA,13.6,13.3,13.5,2012
USDA,0.0,NAD,0.0,0.0,0.0,2012
USDA,46.5,NRCS,118.0,1.0,36.5,2012
USDA,0.0,OBPA,0.0,0.0,0.0,2012
USDA,29.0,OCFO,38.0,20.0,29.0,2012
USDA,0.0,OGC,0.0,0.0,0.0,2012
USDA,111.0,OIG,362.0,28.0,62.0,2012
USDA,32.33,OSEC/OCIO,74.0,11.0,12.0,2012
USDA,26.0,RD,26.0,26.0,26.0,2012
USDA,105.0,REE,105.0,105.0,105.0,2012
USDA,11.0,RMA,11.0,11.0,11.0,2012
USIBWC,0.0,USIBWC,0.0,0.0,0.0,2012
USITC,0.0,USITC,0.0,0.0,0.0,2012
USNRC,19.0,USNRC,40.0,3.0,16.0,2012
USPS,19.28,OIG,50.0,8.0,18.5,2012
USPS,20.53,PS & PIS,117.0,1.0,20.0,2012
USTDA,0.0,USTDA,0.0,0.0,0.0,2012
USTR,65.0,USTR,65.0,65.0,65.0,2012
VA,192.25,GC,756.0,3.0,111.0,2012
ABMC,0.0,ABMC,0.0,0.0,0.0,2013
ACUS,0.0,ACUS,0.0,0.0,0.0,2013
AFRH,0.0,AFRH,0.0,0.0,0.0,2013
BBG,21.0,BBG,22.0,20.0,21.0,2013
CEQ,223.0,CEQ,223.0,223.0,223.0,2013
CFPB,20.0,CFPB,31.0,1.0,20.0,2013
CFTC,74.17,CFTC,355.0,11.0,18.5,2013
CIA,273.93,CIA,4478.0,0.0,107.0,2013
CIGIE,163.0,CIGIE,277.0,43.0,169.0,2013
CNCS,214.0,CNCS,214.0,214.0,214.0,2013
CO,0.0,CO,0.0,0.0,0.0,2013
CPPBSD,0.0,CPPBSD,0.0,0.0,0.0,2013
CSB,0.0,CSB,0.0,0.0,0.0,2013
CSOSA,0.0,CSOSA,0.0,0.0,0.0,2013
DHS,16.78,CBP,256.0,1.0,12.0,2013
DHS,641.51,FEMA,1611.0,1.0,546.0,2013
DHS,38.6,FLETC,120.0,10.0,21.0,2013
DHS,22.16,ICE,233.0,1.0,16.0,2013
DHS,169.73,OGC,1344.0,10.0,134.0,2013
DHS,89.66,OIG,202.0,9.0,58.0,2013
DHS,58.68,TSA,234.0,1.0,38.0,2013
DHS,235.18,USCG,941.0,3.0,124.0,2013
DHS,17.79,USCIS,185.0,1.0,17.81,2013
DHS,35.3,USSS,103.0,9.0,22.0,2013
DNFSB,0.0,DNFSB,0.0,0.0,0.0,2013
DOC,18.0,PTO,20.0,1.0,20.0,2013
DOC,219.0,AGC/Admin.,898.0,3.0,156.0,2013
DoD,98.0,AF,489.0,1.0,80.0,2013
DoD,62.0,ARMY,462.0,1.0,0.0,2013
DoD,0.0,ASBCA,0.0,0.0,0.0,2013
DoD,18.0,DCAA,21.0,15.0,18.0,2013
DoD,96.0,DCMA,239.0,8.0,123.0,2013
DoD,0.0,DeCA,0.0,0.0,0.0,2013
DoD,16.0,DFAS,21.0,12.0,12.0,2013
DoD,686.0,DIA,3723.0,8.0,265.0,2013
DoD,0.0,DISA,0.0,0.0,0.0,2013
DoD,116.0,DLA,264.0,30.0,86.0,2013
DoD,180.0,DoD IG,1007.0,1.0,50.0,2013
DoD,1.0,DSS,1.0,1.0,1.0,2013
DoD,13.0,DTRA,13.0,13.0,13.0,2013
DoD,42.0,NAVY,213.0,2.0,37.0,2013
DoD,237.0,NGA,614.0,71.0,237.0,2013
DoD,63.0,NRO,118.0,23.0,60.0,2013
DoD,229.0,NSA,1095.0,2.0,127.0,2013
DoD,526.0,OSD/JS,4147.0,,123.0,2013
DOE,45.51,HQ,530.0,1.0,15.5,2013
DOI,416.0,FOIA/PA Appeals,1420.0,1.0,190.0,2013
DOJ,80.83,OIP,349.0,,68.0,2013
DOJ,0.0,USPC,0.0,0.0,0.0,2013
DOT,89.0,FAA,696.0,1.0,16.0,2013
DOT,290.0,FHWA,839.0,42.0,203.0,2013
DOT,190.0,FMCSA,555.0,37.0,83.0,2013
DOT,27.0,FRA,36.0,19.0,26.5,2013
DOT,96.0,FTA,96.0,96.0,96.0,2013
DOT,173.0,MARAD,337.0,68.0,105.0,2013
DOT,23.0,NHTSA,48.0,17.0,20.0,2013
DOT,89.0,OIG,245.0,6.0,8.0,2013
DOT,95.0,OST,166.0,23.0,95.0,2013
DOT,0.0,PHMSA,0.0,0.0,0.0,2013
DOT,0.0,RITA,0.0,0.0,0.0,2013
DOT,0.0,SLSDC,0.0,0.0,0.0,2013
ED,156.14,OM-PIRMS,976.0,,141.5,2013
EEOC,16.98,OLC/HDQ,134.0,1.0,17.0,2013
EPA,66.91,HQ,1762.0,,36.0,2013
EPA,79.0,Region 5,79.0,79.0,79.0,2013
EPA,373.0,Region 6,373.0,373.0,373.0,2013
Ex-Im Bank,66.0,HQ,88.0,44.0,66.0,2013
FCA,15.0,FCA,15.0,15.0,15.0,2013
FCC,122.0,FCC,239.0,18.0,122.0,2013
FCSIC,0.0,FCSIC,0.0,0.0,0.0,2013
FDIC,21.06,FDIC,77.0,8.0,20.0,2013
FEC,2.0,FEC,2.0,2.0,2.0,2013
FERC,23.0,FERC,30.0,7.0,22.0,2013
FFIEC,0.0,FFIEC,0.0,0.0,0.0,2013
FHFA,20.75,FHFA-HQ,23.0,8.0,21.5,2013
FHFA,10.0,FHFA-OIG,11.0,9.0,10.0,2013
FLRA,16.33,OGC,22.0,8.0,19.0,2013
FMC,0.0,FMC,0.0,0.0,0.0,2013
FMCS,19.0,FMCS,19.0,19.0,19.0,2013
FMSHRC,27.0,FMSHRC,27.0,27.0,27.0,2013
FOMC,0.0,FOMC,0.0,0.0,0.0,2013
FRB,70.0,FRB,536.0,8.0,41.0,2013
