Component,Median Number of Days,Average Number of Days,Lowest Number of Days,Highest Number of Days,
ADJ BDS,0,0,0,0,
ALJ,0,0,0,0,
ASP,0,0,0,0,
BLS,184,184.5,4,365,
CFO,0,0,0,0,
EBSA,52,181.5,6,425,
ETA,26,100.9,1,476,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,212,313.4,3,1145,
OASAM,212,313.4,3,1145,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,428,408.2,8,658,
OIG,958,958,958,958,
OLMS,145,233,84,470,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,101,206.1,1,810,
OWCP,57,145.1,1,958,
SOL,39,39,17,61,
VETS,363,348.5,4,648,
WB,0,0,0,0,
WHD,46,134.6,1,645,
Total,66,174,0,1145,
