Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Opened in Error,8,8
OGC,N/A,0,0
OIG,N/A,0,0
OGC,N/A,0,0
OIG,N/A,0,0
OIG,Unable to locate requester,2,5
OIG,Opened in Error,3,5
OIG,Requester failed to provide requested clarification,4,8
OIG,Publicly Available Information,1,8
OIG,Request administratively closed,2,8
OIG,Assigned to other bureau/office for response,1,8
OIG,N/A,0,0
FSA,N/A,0,0
OCFO,N/A,0,0
OGC,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
APHIS,N/A,0,0
FNCS,N/A,0,0
OIG,N/A,0,0
FSA,Publicly Available Information.,12,12
OCFO,N/A,0,0
NRCS,N/A,0,0
AMS,N/A,0,0
OGC,N/A,0,0
RD,N/A,0,0
REE,N/A,0,0
RMA,Unable to Locate Requester.,5,5
FAS,N/A,0,0
OBPA,N/A,0,0
GIPSA,N/A,0,0
FS,N/A,0,0
ASCR,N/A,0,0
FSIS,N/A,0,0
NAD,N/A,0,0
OIG,Request Opened in Error,8,8
OGC,N/A,0,0
OIG,N/A,0,0
OSEC,N/A,0,0
OIG,N/A,0,0
OSEC/OCIO/DM,N/A,0,0
OIG,N/A,0,0
Total,0,46,75
