Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BEP,0,0,0,0,
DO,4,24,19,9,
FinCEN,1,30,31,0,
IRS,59,147,182,24,
MINT,0,0,0,0,
OCC,0,0,0,0,
TIGTA,1,2,2,1,
TTB,0,1,0,1,
Fiscal Service,0,3,3,0,
Total,65,207,237,35,
