Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year,
AF,148,210,240,118,
ARMY,26,121,25,122,
ASBCA,0,0,0,0,
DCAA,0,4,4,0,
DCMA,3,4,2,5,
DeCA,0,0,0,0,
DFAS,1,2,3,0,
DHA,14,3,12,5,
DIA,80,40,43,77,
DISA,0,2,0,2,
DLA,0,20,13,7,
DoD IG,24,20,35,9,
DSS,0,3,3,0,
DTRA,2,3,3,2,
NAVY,16,319,307,28,
NGA,11,5,7,9,
NRO,5,4,8,1,
NSA,111,99,28,182,
OSD/JS,361,224,270,315,
Total,802,1083,1003,882,
