Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AMS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
APHIS,0,0,0,0,1,4,1,0,2,1,0,1,0,0,
FNCS,0,0,2,0,3,3,0,0,3,1,3,0,0,0,
FS,0,1,3,0,6,17,5,1,5,1,1,0,0,0,
FSA,0,0,4,0,1,11,0,0,2,0,0,0,0,0,
FSIS,0,0,0,1,1,1,0,0,1,0,0,0,0,0,
GIPSA,0,0,0,0,1,2,0,0,0,0,1,0,0,0,
OIG,0,0,0,1,3,6,0,0,6,1,0,1,0,0,
OSEC/OCIO/DM,0,0,0,0,1,2,0,0,0,0,0,0,0,0,
RD,0,0,0,3,3,5,0,0,0,0,0,0,0,0,
RMA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Total,0,1,9,6,20,52,6,1,19,4,5,2,0,0,
