Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
AF,8,35,0,9,36,
AFRICOM,0,4,10,10,4,
ARMY,86,38,0,1,107,
ASBCA,0,0,0,0,0,
CENTCOM,13,8,4,21,15,
DCAA,0,0,0,0,0,
DCMA,0,4,3,2,4,
DeCA,0,0,0,0,0,
DFAS,0,0,0,0,0,
DHA,0,0,0,0,0,
DIA,0,0,0,0,0,
DISA,0,0,0,0,0,
DLA,0,1,34,34,0,
DoD IG,23,28,5,5,48,
DoDEA,0,0,0,0,0,
DSS,0,0,0,0,0,
DTIC,0,0,0,0,0,
DTRA,0,1,0,0,0,
EUCOM,0,0,0,0,0,
JPRA,0,1,11,11,0,
NAVY,71,280,1,28,264,
NGA,1,0,1,1,1,
NGB,0,1,12,12,0,
NORTHCOM,2,0,0,0,2,
NRO,0,3,6,9,1,
NSA,1,36,4,8,27,
OSD/JS,2,26,4,10.18,25,
PACOM,0,0,0,0,0,
SOCOM,1,3,0,2,4,
SOUTHCOM,0,0,0,0,0,
STRATCOM,0,1,8,8,1,
TRANSCOM,2,0,32,32,0,
Total,210,470,N/A,N/A,539,
