Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
HQ,31,21,29,16,
OIG,11,5,9,6,
R01,0,0,0,0,
R02,1,0,1,0,
R03,2,1,2,1,
R04,6,2,5,3,
R05,7,2,6,3,
R06,3,1,3,1,
R07,0,0,0,0,
R08,1,1,1,1,
R09,3,3,1,5,
R0X,2,2,2,2,
Total,67,38,59,38,
