Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
FAA,Date of Receipt,2015-09-03,2015-09-03,2015-08-26,2015-08-10,2015-07-30,2015-07-29,2015-07-17,2015-07-17,2015-07-17,2014-04-02
FAA,Number of Days Pending,18,18,24,36,43,44,52,52,52,377
FMCSA,Date of Receipt,,,,,,,,,,2014-12-10
FMCSA,Number of Days Pending,,,,,,,,,,203
FRA,Date of Receipt,,,,,2015-09-16,2015-07-09,2015-07-09,2015-07-09,2015-07-09,2015-01-09
FRA,Number of Days Pending,,,,,53,58,58,58,58,186
FTA,Date of Receipt,,,,,,,2015-08-17,2015-06-18,2015-06-15,2015-05-13
FTA,Number of Days Pending,,,,,,,31,72,75,97
MARAD,Date of Receipt,,,,,,,,,,2015-01-15
MARAD,Number of Days Pending,,,,,,,,,,183
NHTSA,Date of Receipt,,,,,,,,,,2014-10-16
NHTSA,Number of Days Pending,,,,,,,,,,240
OIG,Date of Receipt,,,,,,,,,,2015-05-19
OIG,Number of Days Pending,,,,,,,,,,93
