Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
ADJ BDS,14,0,0,14,0,6,0,1,0,0,0,0,35
ALJ,105,3,1,3,0,2,1,0,0,1,1,0,117
ASP,4,0,0,8,0,0,0,0,1,3,1,0,17
BLS,8,3,2,19,1,0,0,0,1,4,1,0,39
CFO,1,0,0,0,0,0,0,0,0,1,1,0,3
EBSA,131,73,18,116,110,31,4,8,7,4,38,0,540
ETA,148,720,14,454,71,23,35,3,85,40,60,0,1653
EXEC SEC,0,0,0,0,0,0,0,0,0,0,0,0,0
ILAB,14,3,0,0,0,0,0,0,0,0,0,0,17
MSHA,317,720,117,74,1,21,20,6,3,5,23,0,1307
OASAM,51,46,7,21,3,4,2,1,1,19,2,0,157
OCIA,9,2,1,1,0,1,0,0,0,0,0,0,14
ODEP,3,0,0,3,0,0,0,0,0,0,0,0,6
OFCCP,41,63,6,45,3,6,7,2,2,2,8,0,185
OIG,8,19,3,23,4,1,0,1,0,1,0,0,60
OLMS,6,28,20,23,0,1,0,1,14,2,0,0,95
OPA,0,0,20,0,0,0,0,0,0,0,0,0,20
OSEC,10,10,0,25,0,1,0,0,4,0,0,0,50
OSHA,420,4152,1462,2049,309,175,59,56,48,146,449,0,9325
OWCP,210,21,16,69,5,3,14,6,32,9,25,0,410
SOL,10,14,4,15,3,6,0,0,2,7,3,0,64
VETS,16,93,7,16,3,4,3,1,1,1,5,0,150
WB,1,0,0,6,0,0,0,1,0,0,0,0,8
WHD,67,1498,192,572,12,155,6,23,16,121,170,0,2832
Total,1594,7468,1890,3556,525,440,151,110,217,366,787,0,17104
