Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ADJ BDS,1,0,1,0,0,2,0,0,0,0,0,0,0,4,
ALJ,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
ASP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EBSA,1,0,0,1,0,0,0,0,0,0,3,0,0,5,
ETA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
EXEC SEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ILAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MSHA,2,0,0,1,0,0,0,0,1,0,0,1,4,9,
OASAM,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
OCIA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OFCCP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OLMS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
OPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSHA,54,6,3,0,0,0,0,0,0,0,0,0,0,63,
OWCP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SOL,0,0,1,0,1,0,0,0,0,0,0,0,0,2,
VETS,3,1,0,0,0,0,0,0,0,0,0,0,0,4,
WB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WHD,8,1,0,0,1,0,0,0,0,0,0,0,0,10,
Total,80,8,5,2,2,2,0,0,1,0,3,1,4,108,
