FOIA Requests,#
# of Full Grants,772
# of Partial Grants/Partial Denials,102
# of Full Denials Based on Exemptions,11
# of Full Denials – No Records,113
# of Full Denials – Records Referred to Another Component or Agency,15
# of Full Denials – Request Withdrawn,175
# of Full Denials – Fee Related Reason,6
# of Full Denials – Records not Reasonably Described,17
# of Full Denials – Improper FOIA Request for Other Reason,6
# of Full Denials – Not Agency Record,13
# of Full Denials – Duplicate Request,6
# of Full Denials – Other (see below),0
Total Requests Processed,1236
