Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ADJ BDS,14,0,0,0,0,0,0,0,0,0,1,0,0,15,
ALJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ASP,1,3,1,0,0,1,2,1,1,3,5,5,12,35,
BLS,22,1,0,0,0,0,0,0,0,0,0,0,0,23,
CFO,0,0,0,0,0,0,0,0,0,0,2,1,13,16,
EBSA,82,29,3,2,0,0,0,0,0,0,0,0,0,116,
ETA,1267,174,97,15,8,1,0,0,0,0,1,0,0,1563,
EXEC SEC,7,1,0,0,0,0,2,2,3,3,13,0,44,75,
ILAB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
MSHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OASAM,7,0,0,0,0,1,0,0,0,0,0,0,0,8,
OCIA,4,1,0,0,0,0,0,0,0,0,0,0,3,8,
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
OFCCP,61,1,0,0,0,0,0,0,0,0,0,0,0,62,
OIG,39,2,5,1,0,0,0,0,0,0,0,0,0,47,
OLMS,28,8,3,2,0,0,0,0,0,0,0,0,0,41,
OPA,1,0,0,0,0,0,0,0,0,0,0,0,1,2,
OSEC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OSHA,3875,656,79,30,27,20,16,12,12,7,35,26,86,4881,
OWCP,43,5,2,0,0,0,0,0,0,0,0,0,0,50,
SOL,6,1,0,0,1,0,0,0,2,0,4,6,64,84,
VETS,32,3,0,0,1,0,0,0,2,0,4,6,64,112,
WB,0,0,1,0,2,1,0,1,0,0,0,0,0,5,
WHD,1240,379,159,86,45,41,35,28,19,10,29,10,5,2086,
Total,6731,1264,350,136,84,65,55,44,39,23,94,54,293,9232,
