Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
AMS,12,17,10,18,
APHIS,10,17,11,30,
ASCR,0,0,1,0,
DM,3,2,2,1,
FAS,4,0,5,0,
FNCS,9,16,14,13,
FS,66,63,56,68,
FSA,48,32,73,35,
FSIS,6,0,14,0,
GIPSA,0,1,0,1,
NAD,1,0,0,0,
NRCS,8,13,12,12,
OBPA,0,0,0,0,
OCFO,0,0,0,0,
OGC,2,6,3,6,
OIG,11,15,10,11,
OSEC,1,3,1,1,
RD,12,9,26,11,
REE,5,2,3,4,
RMA,2,1,1,2,
Total,200,197,242,213,
