Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
AF,210,210,186,240,
ARMY,105,121,114,25,
ASBCA,0,0,0,0,
DCAA,2,4,2,4,
DCMA,5,4,2,2,
DeCA,1,0,1,0,
DFAS,1,2,1,3,
DHA,17,3,8,12,
DIA,58,40,68,43,
DISA,3,2,6,0,
DLA,7,20,13,13,
DoD IG,19,20,22,35,
DSS,0,3,0,3,
DTRA,1,3,1,3,
NAVY,252,319,257,307,
NGA,7,5,9,7,
NRO,5,4,6,8,
NSA,177,99,133,28,
OSD/JS,185,224,132,270,
Total,1055,1083,961,1003,
