Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
ADJ BDS,1,1,1,1,
ALJ,1,0,1,0,
ASP,0,0,0,0,
BLS,2,0,2,0,
CFO,0,0,0,0,
EBSA,11,8,4,9,
ETA,44,52,40,27,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,9,21,8,12,
OASAM,11,7,7,7,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,10,2,6,1,
OIG,2,1,2,2,
OLMS,6,1,9,2,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,118,113,103,48,
OWCP,210,167,179,147,
SOL,3,0,0,2,
VETS,12,3,9,3,
WB,0,0,0,0,
WHD,24,24,22,16,
Total,464,400,393,277,
