Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
BEP,2,7,1,8,
BPD,0,3,0,3,
DO,12,36,9,20,
FinCEN,3,4,11,4,
FMS,8,7,7,8,
IRS,262,241,247,223,
MINT,1,3,1,3,
OCC,21,28,13,12,
OTS,1,8,1,8,
TIGTA,18,20,19,23,
TTB,6,7,1,9,
Total,334,364,310,321,
