Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
HQ,14,9,4,17,
OIG,6,10,5,11,
R01,0,0,0,0,
R02,1,1,1,2,
R03,2,1,2,1,
R04,0,0,0,0,
R05,1,3,1,3,
R06,3,2,3,2,
R07,0,0,0,0,
R08,1,0,1,1,
R09,1,0,1,0,
R0X,0,0,0,0,
Total,29,26,18,37,
