Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
AF,256,258,210,169,
ARMY,164,141,154,139,
ASBCA,0,0,0,0,
DCAA,4,2,4,2,
DCMA,5,3,2,6,
DeCA,0,0,0,0,
DFAS,2,1,3,1,
DIA,50,76,57,82,
DISA,2,0,0,1,
DLA,11,8,17,9,
DoD IG,29,22,26,15,
DSS,0,0,0,0,
DTRA,2,1,2,0,
NAVY,327,306,327,314,
NGA,6,9,11,10,
NRO,3,4,6,8,
NSA,77,52,56,28,
OSD/JS,169,183,148,123,
Total,1107,1066,1023,907,
