Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
OCTAE,0,0,0,0,
OSHS,0,0,0,0,
FSA,5,11,0,6,
IES,1,0,0,0,
IES-NAGB,0,0,0,0,
M,2,3,2,1,
OCFO,0,0,0,0,
OCFO-CAM,1,0,0,0,
OCIO,0,0,0,0,
OCO,0,0,0,0,
OCR,3,4,1,1,
OCR-1 Boston,0,2,1,0,
OCR-2 New York,2,3,0,1,
OCR-3 Philadelphia,2,1,3,2,
OCR-4 Atlanta,1,3,1,1,
OCR-5 Chicago,2,6,2,4,
OCR-6 Dallas,1,3,0,0,
OCR-7 Kansas City,0,0,0,0,
OCR-8 Denver,1,0,2,0,
OCR-9 San Francisco,2,1,1,0,
OCR-10 Seattle,0,4,0,1,
OCR-12 Cleveland,1,2,0,0,
OCR-Metro D.C.,3,1,0,0,
ODS,0,0,0,0,
OESE,0,1,0,0,
OGC,0,0,0,0,
OIG,6,8,3,9,
OII,1,0,0,0,
OLCA,0,0,0,0,
OM,2,0,2,0,
OM-PIRMS,5,5,1,1,
OPE,1,0,0,0,
OPEPD,0,0,0,0,
OS,0,0,1,0,
OSERS,1,0,0,0,
OUS,0,0,0,0,
Total,43,58,20,27,
