Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
ADJ BDS,0,0,0,0,
ALJ,1,1,0,2,
ASP,0,0,0,0,
BLS,2,0,2,0,
CFO,2,0,3,0,
EBSA,13,13,16,10,
ETA,59,50,76,57,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,20,24,12,24,
OASAM,10,15,11,11,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,4,6,4,8,
OIG,5,1,7,0,
OLMS,11,10,5,13,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,148,120,177,162,
OWCP,41,54,44,55,
SOL,1,2,3,2,
VETS,7,7,7,9,
WB,0,0,0,0,
WHD,29,35,31,40,
Total,353,338,398,393,
