Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
BEP,0,2,0,1,
BPD,5,0,5,0,
DO,12,12,11,16,
FinCEN,8,3,2,11,
FMS,5,8,5,7,
IRS,239,262,267,247,
MINT,0,1,0,1,
OCC,10,21,10,13,
OTS,9,1,10,1,
TIGTA,16,18,20,19,
TTB,4,6,2,1,
Total,308,334,332,317,
